State,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
AK,0.00280880661783,0.00428339774206,0.00402289527015,0.0030084908325700003,0.00281843976968,0.00170034715291,0.0014275516290200001,0.00126822121455,0.00152984995048,0.0020362134620199998,0.00146335244707,0.0023259269093,0.0029964134481700005,0.00446359998553,0.0047652470388199995,0.00348808760129,0.00355690952194,0.0022791510078,0.00150368228427,0.00117891087394,0.00161793817481,0.00184379005576,0.00154216696553,0.00205178945381
AL,0.140551255916,0.14947986970799998,0.174433255557,0.157169257593,0.144440796734,0.138628172081,0.155644655554,0.182230357416,0.201633298499,0.202638788677,0.184358756787,0.154840790599,0.141521208869,0.158935982434,0.16277086350199998,0.137441425285,0.148654078549,0.14585250877699998,0.157303163196,0.17116035627300002,0.195416776398,0.19511594408799998,0.167005304704,0.15649992128100002
AR,0.06715792546,0.0724433147723,0.0836145119359,0.0799381944646,0.0722287015686,0.06735593226030001,0.0690452324405,0.0827605162507,0.105843872489,0.10381120556,0.094409465027,0.08171742802510001,0.0717368117478,0.0766852564132,0.08503988292610001,0.0730855967845,0.072703337983,0.0695720364459,0.0726189400705,0.0860224644143,0.0972718530566,0.101768210551,0.0891886082468,0.08393336446930001
AZ,0.11531874829399999,0.13286522286,0.13199634611199998,0.114784731406,0.11784373637800001,0.119602289815,0.14019653067500001,0.18724870234000002,0.20872864202,0.194424394016,0.160078685118,0.142815142452,0.116559747468,0.122869797409,0.125616875173,0.10620628987299999,0.119679259177,0.12254543337099999,0.14382688698899998,0.18539935285300002,0.202650243021,0.197327447366,0.167428085047,0.138006114895
CA,0.466680221773,0.506585625181,0.472254389973,0.435831562663,0.474844653445,0.449034204638,0.45484220442,0.525966496281,0.562906566335,0.637580986171,0.5698653203899999,0.503191041456,0.463256954261,0.48758866633299996,0.479844307179,0.427460617303,0.4681124462,0.418506698515,0.465640967638,0.523020309416,0.573545447988,0.632571411729,0.583533468852,0.5103807515250001
CO,0.09343172407780001,0.100685223823,0.101739359022,0.0907442903806,0.0929393789588,0.0863553832664,0.0919450795322,0.10481976301000001,0.11976061377999996,0.11619919920199999,0.102069594011,0.09424114846339998,0.091410894903,0.103330674232,0.10122791534,0.08751052278060001,0.0942950653581,0.0877078825781,0.093403112179,0.104434197306,0.120123797983,0.11587037803400001,0.104888776635,0.0935579375374
CT,0.0398363658192,0.045565239562300006,0.0513643250839,0.0470840185771,0.0453402263887,0.0424436430663,0.03859071781119999,0.04881175551249999,0.055758024810899996,0.0631479223185,0.054795907779599994,0.0403799200065,0.0400227984594,0.047868856858800005,0.050894744875999993,0.04383901230000002,0.0442841022561,0.0424614715862,0.0380252853462,0.0462998272982,0.055036209388300006,0.0536818409576,0.0447994279537,0.041040965098
DC,0.0100982269968,0.010561480955700002,0.0135909394695,0.0140337289715,0.0122686575819,0.008620808231030001,0.010388275927,0.015125438254499999,0.0173005176741,0.0177017312595,0.013943076699299999,0.0111645114686,0.00974232756598,0.0114858561607,0.0123777853767,0.009376914798610001,0.0110213561225,0.00942359484785,0.010573797970799999,0.0139862581412,0.016853223116,0.0149710921574,0.0121893638022,0.0112704282128
DE,0.0105714016643,0.00984254110085,0.0140108682082,0.013097180529799999,0.0108591741034,0.008630225715290001,0.0102236017492,0.0128174357173,0.017037930415600002,0.0188659048489,0.014380594327100003,0.010530808233399998,0.00961160905027,0.012051935628500002,0.0133507816392,0.010441761486499999,0.0113589956984,0.009267906819149999,0.00940928889846,0.012269328547700001,0.016561688475899998,0.015158770876899999,0.0137323934381,0.0100409313101
FL,0.432461085781,0.41758270671899994,0.41034519033699995,0.38416757946,0.39863875416999994,0.401040763808,0.457688992495,0.520090249693,0.583910527669,0.5706732111389999,0.530417323954,0.466455544083,0.397809416478,0.40971021706,0.40194127180100003,0.35893713266099997,0.382972421628,0.415637792532,0.478087910418,0.494668817272,0.549500789463,0.5558707470650001,0.499120483651,0.470189324982
