State,Y_1_M_1_F_1,Y_1_M_1_F_2,Y_1_M_1_F_3,Y_1_M_1_F_4,Y_1_M_2_F_1,Y_1_M_2_F_2,Y_1_M_2_F_3,Y_1_M_2_F_4,Y_1_M_3_F_1,Y_1_M_3_F_2,Y_1_M_3_F_3,Y_1_M_3_F_4,Y_1_M_4_F_1,Y_1_M_4_F_2,Y_1_M_4_F_3,Y_1_M_4_F_4,Y_1_M_5_F_1,Y_1_M_5_F_2,Y_1_M_5_F_3,Y_1_M_5_F_4,Y_1_M_6_F_1,Y_1_M_6_F_2,Y_1_M_6_F_3,Y_1_M_6_F_4,Y_1_M_7_F_1,Y_1_M_7_F_2,Y_1_M_7_F_3,Y_1_M_7_F_4,Y_1_M_8_F_1,Y_1_M_8_F_2,Y_1_M_8_F_3,Y_1_M_8_F_4,Y_1_M_9_F_1,Y_1_M_9_F_2,Y_1_M_9_F_3,Y_1_M_9_F_4,Y_1_M_10_F_1,Y_1_M_10_F_2,Y_1_M_10_F_3,Y_1_M_10_F_4,Y_1_M_11_F_1,Y_1_M_11_F_2,Y_1_M_11_F_3,Y_1_M_11_F_4
AK,0.0039803608310300005,0.563761955367,0.00595235238233,0.395839899149,0.00413571337683,0.59298618491,0.0059517764101599995,0.395209580838,0.00332839774086,0.610520722635,0.00601033358068,0.40088244563500003,0.00305512295568,0.6758767268860001,0.006061787094449999,0.397730854081,0.00211850262479,0.764080765143,0.0060805381883900006,0.408761424519,0.00150991268099,0.8039319872480001,0.006127319927899999,0.427670973842,0.00116908601758,0.8140276301809999,0.00616456612816,0.43239836117200003,0.00155575402298,0.787991498406,0.006195028656220001,0.420737472424,0.0019481731638099997,0.7327311370880001,0.00623169888431,0.41348881185,0.00174858480133,0.6939426142399999,0.00624782610504,0.41128269776199994,0.0022625925303800002,0.6174282678,0.0061698778715,0.41853135833599997
AL,0.165746045675,0.7577045696070001,0.147475561981,0.1348881185,0.18212976047200002,0.745483528162,0.147163769047,0.147494484715,0.168348194826,0.833156216791,0.147824409125,0.13961550583,0.15818725649,0.8767268862909999,0.14784149629899998,0.138354869209,0.142564824282,0.907545164718,0.147909205027,0.150961235424,0.158165953326,0.9447396386820001,0.14808340461,0.163882760794,0.18386025316,0.959617428268,0.14833100864600002,0.166404034037,0.203536996216,0.945802337938,0.148371582685,0.163252442483,0.199854017012,0.9213602550480001,0.148470521904,0.16199180586200002,0.173788481386,0.871413390011,0.148484985206,0.136463914277,0.150875262905,0.8405951115829999,0.148473785747,0.128269776237
AR,0.0811667807708,0.731137088204,0.08540592118589999,0.0923416325244,0.08800471305549999,0.717853347503,0.0851483336325,0.09895997478730001,0.0825623896351,0.790116896918,0.0855353229332,0.09706901985500001,0.0853448368822,0.8581296493089999,0.08531062979039998,0.101796407186,0.0677455477226,0.894261424017,0.085416224688,0.10967538607,0.0694936532626,0.941020191286,0.0859509828485,0.12228175228499999,0.0836829025214,0.9612114771520001,0.08630686965210001,0.131736526946,0.10185014026799999,0.941020191286,0.0864263518787,0.132051686101,0.10660894124199999,0.92348565356,0.0864034409857,0.12953041285800002,0.09213932413139997,0.86344314559,0.0862644397023,0.105893476205,0.0787444264908,0.8140276301809999,0.0860510740121,0.105893476205
AZ,0.124398209576,0.765674814028,0.17758905089699994,0.148124803026,0.127172293713,0.802337938363,0.177769906158,0.15190671289000002,0.103224254263,0.82518597237,0.17767378280299995,0.153482508667,0.11835985285700001,0.8363443145589999,0.17685948615,0.16892530728,0.11790965876800001,0.860255047821,0.176606250386,0.190356129846,0.131709220676,0.9426142401700001,0.176572396022,0.20832020170200002,0.17664758647599998,0.943676939426,0.176851230549,0.21210211156599998,0.194324539927,0.9543039319869999,0.176859998125,0.205483769303,0.203272851358,0.924548352816,0.17729908090799998,0.2004412228180001,0.172773669577,0.86875664187,0.177829167295,0.176489127009,0.142281748604,0.782678002125,0.17847713598499998,0.14276709738399998
CA,0.501036114974,0.7842720510100001,0.9535614759090001,0.31232272297499997,0.479919335533,0.8087141339,0.9209666348919999,0.304443744091,0.426926456637,0.8283740701379999,0.972006600641,0.301922470848,0.46717505905100004,0.827311370882,0.95490086719,0.25212732429900003,0.469923934045,0.849096705632,0.952719596589,0.31894106523800003,0.45607426537,0.9213602550480001,0.961123094532,0.36180271036899997,0.51957183276,0.924548352816,0.990817723688,0.39930664985799996,0.593856349577,0.932518597237,0.942388319796,0.39552473999399995,0.5785397100330001,0.9091392136030001,0.9590338514839999,0.40088244563500003,0.602322428302,0.871413390011,0.975474145089,0.3460447526,0.573199373414,0.778958554729,0.925373589948,0.32745036243299996
CO,0.0993714488236,0.681190223167,0.150664335899,0.152221872045,0.100326113342,0.6965993623800001,0.150839623429,0.162937283328,0.0881955309364,0.741764080765,0.15110546658399998,0.16199180586200002,0.0925665376415,0.764080765143,0.15124069205000001,0.16482823825999998,0.08666649573010002,0.790648246546,0.151352430651,0.165773715726,0.09014209857489999,0.8708820403829999,0.15152714220799998,0.171446580523,0.09889906493730001,0.87991498406,0.15159785879100002,0.183737787583,0.11045580384199999,0.8815090329440001,0.15183413537499998,0.18153167349500002,0.11605542081700004,0.858660998937,0.151977104466,0.176489127009,0.104572200593,0.7991498405949999,0.15219642186899998,0.163252442483,0.09712074197319999,0.709883103082,0.152302272754,0.158840214308
CT,0.0506274129308,0.649840595112,0.08929456528660001,0.436495430192,0.054331000369300005,0.6099893730070001,0.08933501133230001,0.461077844311,0.0544610479192,0.690754516472,0.0887200010495,0.45761109360200003,0.0513946623233,0.775770456961,0.0886633637863,0.438386385124,0.0453964197744,0.859192348565,0.08860090280439999,0.44216829498899995,0.0390898205143,0.8730074388950001,0.08855437705250001,0.425149700599,0.0471140682597,0.909670563231,0.0885178348182,0.390797352663,0.0562369266507,0.9086078639740001,0.0885369698936,0.379766782225,0.0579726912127,0.886291179596,0.08867993898530001,0.378821304759,0.05496479945669999,0.7991498405949999,0.0887788142077,0.391112511818,0.0423065743386,0.770988310308,0.0888299477369,0.38575480617700003
DC,0.0119113922564,0.6843783209350001,0.0013439990579700001,0.234478411598,0.0145521698675,0.6615302869290001,0.0019352664879200001,0.21399306649900002,0.0131000800606,0.740170031881,0.00209340284677,0.245508982036,0.0121041751087,0.816684378321,0.0021923420660300004,0.24456350456999998,0.010379769039200001,0.892136025505,0.002148696175,0.21525370312,0.0118325537749,0.916046758767,0.00203823751236,0.242357390482,0.014850030756600003,0.9298618490970001,0.0021885022515700002,0.236684525685,0.0171315780708,0.922422954304,0.0022471874159,0.223132682004,0.0158945088399,0.903294367694,0.00236948550646,0.237630003152,0.0136864802069,0.819341126461,0.00246727278138,0.232587456666,0.008712131469040001,0.793836344315,0.0024855119000599998,0.234793570753
DE,0.012634909056599999,0.6960680127519999,0.014114198001999999,0.184052946738,0.0175538312267,0.665249734325,0.013921375319100001,0.226914591869,0.0153524882887,0.7385759829970001,0.0146074221694,0.22092656791700002,0.014239212247799999,0.8140276301809999,0.014638140685,0.179325559408,0.010148189985899999,0.886822529224,0.0146677072564,0.205798928459,0.0100728980379,0.917109458023,0.014751031230200001,0.222187204538,0.013145969328700002,0.934643995749,0.0147286323125,0.199495745351,0.016538252599,0.925079702444,0.014763958605500001,0.205483769303,0.016027455920500002,0.9086078639740001,0.014790901303600001,0.20832020170200002,0.013161449468200002,0.8262486716259999,0.014775542045799997,0.202017018594,0.0112091786204,0.800212539851,0.014804148663500001,0.21809013551800002
FL,0.392803748015,0.837407013815,0.625399796682,0.189410652379,0.40940859397,0.8267800212540001,0.6274076996600001,0.196659312953,0.376838763803,0.8953241232729999,0.632643862649,0.184052946738,0.419556184879,0.925079702444,0.633612519843,0.18247715096099998,0.428530256604,0.9378320935179999,0.634479421954,0.18027103687399998,0.457670708676,0.960148777896,0.635057890003,0.18436810589299998,0.509664399681,0.965993623804,0.634609847652,0.187834856603,0.547390530132,0.963868225292,0.636888841531,0.185628742515,0.549754510388,0.951115834219,0.6374185439360001,0.18657421998100002,0.519316122901,0.9213602550480001,0.633790047265,0.180901355184,0.459840276591,0.909670563231,0.6493681745300001,0.18121651434
