Y_1_M_1_F_1,Y_1_M_2_F_1,Y_1_M_3_F_1,Y_1_M_4_F_1,Y_1_M_5_F_1,Y_1_M_6_F_1,Y_1_M_7_F_1,Y_1_M_8_F_1,Y_1_M_9_F_1,Y_1_M_10_F_1,Y_1_M_11_F_1
-1.58458512525e-07,-1.58272315095e-07,-1.5923992135899998e-07,-1.59567454213e-07,-1.60690038317e-07,-1.61419462369e-07,-1.61827959368e-07,-1.61364519336e-07,-1.60894186294e-07,-1.61133402458e-07,-1.60517339698e-07
3.54253701798e-08,5.50620331785e-08,3.8544169950800004e-08,2.63658011056e-08,7.64157157156e-09,2.63402682481e-08,5.71361111365e-08,8.07196254413e-08,7.630539934310001e-08,4.50646126657e-08,1.76020283188e-08
-6.594690968130001e-08,-5.775132195630001e-08,-6.42742059456e-08,-6.093931031419999e-08,-8.203289711789999e-08,-7.993770931699999e-08,-6.293121785009999e-08,-4.11569175979e-08,-3.54532678353e-08,-5.27957935349e-08,-6.88502167303e-08
-1.41319819379e-08,-1.08071098918e-08,-3.95099764866e-08,-2.1369240240599998e-08,-2.1908819311400013e-08,-5.36938670691e-09,4.84913863748e-08,6.9678057533e-08,8.04030352408e-08,4.3848312347900006e-08,7.3022918801e-09
4.37286497468e-07,4.11977030926e-07,3.48462540037e-07,3.96702408196e-07,3.9999706588200003e-07,3.83397577929e-07,4.59502438608e-07,5.485359722609999e-07,5.30178249807e-07,5.586829710880001e-07,5.2377760186e-07
-4.4127747423e-08,-4.29835365005e-08,-5.752261763200001e-08,-5.22837577828e-08,-5.93552391974e-08,-5.5189563547899996e-08,-4.46939220237e-08,-3.0842619675800004e-08,-2.41312118658e-08,-3.78943985705e-08,-4.682532684740001e-08
-1.02549797481e-07,-9.811087143049999e-08,-9.79550032441e-08,-1.01630212518e-07,-1.08819392077e-07,-1.1637815185e-07,-1.06760708508e-07,-9.58265279496e-08,-9.37461313992e-08,-9.735123301860002e-08,-1.1252271908800001e-07
-1.48952793385e-07,-1.45787695564e-07,-1.47528094401e-07,-1.48721733949e-07,-1.50788516805e-07,-1.4904728506199998e-07,-1.4543069509300001e-07,-1.42696151903e-07,-1.44178838332e-07,-1.46825265879e-07,-1.52787259909e-07
-1.48085624018e-07,-1.42190061372e-07,-1.44828475795e-07,-1.4616279018599998e-07,-1.51066075337e-07,-1.51156316325e-07,-1.47473093926e-07,-1.4340728075799998e-07,-1.4401949492e-07,-1.47454540241e-07,-1.4979442989400002e-07
3.07564847536e-07,3.27466546765e-07,2.884300531e-07,3.39628918083e-07,3.50384770731e-07,3.85310991314e-07,4.4762790789499997e-07,4.928444731909999e-07,4.956778161899999e-07,4.5919595815600005e-07,3.87911321857e-07
1.31756820622e-07,1.70444470545e-07,1.49655526058e-07,1.2638943485899998e-07,9.97761842152e-08,1.3245985019000002e-07,1.80435342698e-07,2.27046191571e-07,2.1911670275e-07,1.6338163411300001e-07,1.1953577255699996e-07
-1.52985175455e-07,-1.53864838402e-07,-1.5505126901e-07,-1.5375722128499998e-07,-1.53388473976e-07,-1.53246793902e-07,-1.5281161521e-07,-1.50319935736e-07,-1.4923715876400002e-07,-1.50112628463e-07,-1.51102866777e-07
-5.759999166819999e-08,-5.08639700687e-08,-6.05361553977e-08,-6.32373249314e-08,-7.4176905014e-08,-7.01344993582e-08,-6.15935431163e-08,-5.15476417672e-08,-5.25699038563e-08,-6.17762653204e-08,-7.01264575133e-08
-1.20185649473e-07,-1.1865629162200001e-07,-1.26812818957e-07,-1.26868336408e-07,-1.2358028452300001e-07,-1.2313335899400004e-07,-1.0821961405299999e-07,-1.05494979565e-07,-1.10029574849e-07,-1.22326216255e-07,-1.28515794495e-07
1.6596961468e-07,1.84373347975e-07,1.6198944715999999e-07,1.62239548536e-07,1.10189253225e-07,1.33657970194e-07,1.62359889e-07,2.07406886252e-07,2.01441244672e-07,1.68918157107e-07,1.22926673894e-07
8.7055996071e-08,1.05333070309e-07,8.46049566341e-08,8.571427169400001e-08,4.33795589539e-08,6.4154717421e-08,7.93805721056e-08,1.0239659065e-07,9.85726359658e-08,7.654708550269999e-08,5.3242680657099996e-08
-8.09897262322e-08,-7.62303039423e-08,-8.342014408110001e-08,-8.79055117857e-08,-9.63576056415e-08,-8.957189692899998e-08,-6.787215606719999e-08,-5.7236758767299996e-08,-5.9198940198e-08,-6.90956940454e-08,-8.96049833765e-08
1.7152632794200002e-08,3.15260519211e-08,2.63689316809e-08,1.41880353988e-08,-1.27304607e-08,-4.34709640383e-10,1.4140243863499998e-08,2.7770883732e-08,2.30188714278e-08,7.46700609584e-09,-1.4369216361899999e-08
2.61698385783e-08,4.53719547446e-08,3.50336174505e-08,2.68448365728e-08,1.11866178422e-08,2.39258479263e-08,5.489240769319999e-08,8.1730514064e-08,9.7318567698e-08,7.415782466699999e-08,3.91818020874e-08
