Year,Month,State,Megawatthours,Temp,Count,price
2007,1,AK,609045,5.5,269682,12.92
2007,1,AL,7441659,46.7,1685315,6.99
2007,1,AR,3841235,39.9,1065333,6.81
2007,1,AZ,5850650,39,2597967,7.52
2007,1,CA,22130082,41.5,14087158,12.42
2007,1,CO,4420407,19.4,1934723,7.76
2007,1,CT,2804614,31.3,1566683,16.97
2007,1,DC,972078,39.1,239517,10.83
2007,1,DE,988162,40.1,406220,10.9
2007,1,FL,18143569,61.3,7553650,10.17
2007,1,GA,11172635,49.2,2716750,7.15
2007,1,HI,875078,66.9,467114,19.04
2007,1,IA,3743093,21.6,1110674,6.49
2007,1,ID,2117593,20.7,692460,4.75
2007,1,IL,12285218,30.3,5025287,8.28
2007,1,IN,9195984,32.2,2301636,6.01
2007,1,KS,3284756,27,1094242,6.29
2007,1,KY,7974568,38,1436101,5.41
2007,1,LA,6320280,49.6,1582033,8.06
2007,1,MA,4827622,29.9,2681299,16.02
2007,1,MD,5602525,38.5,2162828,10.17
2007,1,ME,1062730,17.3,779814,14.36
2007,1,MI,9122606,24.1,4332875,8.38
2007,1,MN,5739459,14.5,1806177,6.96
2007,1,MO,7261512,31.7,2131997,5.73
2007,1,MS,3781827,46.2,872082,7.56
2007,1,MT,1484907,21.8,446236,6.91
2007,1,NC,10936011,44.2,3427057,7.5
2007,1,ND,1134332,13.7,323748,5.84
2007,1,NE,2440906,21.6,682230,5.64
2007,1,NH,991103,21.5,680522,14.36
2007,1,NJ,6624229,36.7,3776271,11.26
2007,1,NM,1868002,30.8,737321,6.98
2007,1,NV,2684455,27.4,1168073,9.48
2007,1,NY,12188676,25.2,7697355,14.33
2007,1,OH,13806090,33,4784278,7.64
2007,1,OK,4638300,35.1,1340239,6.39
2007,1,OR,4931154,30.2,1444609,6.86
2007,1,PA,12962129,31.3,5622712,8.77
2007,1,RI,646697,32.8,479622,13.03
2007,1,SC,6721798,48.4,1624410,7.01
2007,1,SD,969970,20.1,319004,6.47
2007,1,TN,8556770,40.2,2073473,6.92
2007,1,TX,28194356,42.5,7882416,9.93
2007,1,UT,2369576,22.4,884392,5.86
2007,1,VA,9731619,39.9,3004691,6.83
2007,1,VT,537418,19.5,307668,11.82
2007,1,WA,8610778,28.6,2427790,6.43
2007,1,WI,5981294,20.3,2373734,8.27
2007,1,WV,3126527,35.5,991248,5.16
2007,1,WY,1397677,16.5,258128,5.19
2007,2,AK,554384,6.1,269194,12.68
2007,2,AL,7267457,44.8,1688595,7.31
2007,2,AR,3864080,40.9,1063844,6.83
2007,2,AZ,5067907,46.7,2603426,7.59
2007,2,CA,19167557,46.7,13309185,11.98
2007,2,CO,3864880,27.7,1936756,7.71
2007,2,CT,2750957,23.3,1570096,17.14
2007,2,DC,976064,28.6,239364,10.85
2007,2,DE,1017419,29.6,406455,10.87
2007,2,FL,16942615,58.1,7645856,10.25
2007,2,GA,10835280,46.7,2722552,7.56
2007,2,HI,762235,65.1,467022,19.68
2007,2,IA,3590530,15.5,1111128,6.56
2007,2,ID,1767158,30.8,693177,4.74
2007,2,IL,11539288,21.7,5069685,8.31
2007,2,IN,9280174,20.2,2301564,6.18
2007,2,KS,3096718,30,1096030,6.34
2007,2,KY,7862481,29.8,1437167,5.64
2007,2,LA,6340637,50.6,1570346,8.37
2007,2,MA,4726666,22.4,2582862,15.87
2007,2,MD,5833935,28.3,2158893,10.18
2007,2,ME,970424,11.6,779889,14.59
2007,2,MI,8453175,15.2,4335585,8.62
2007,2,MN,5449311,7.7,1807477,7.12
2007,2,MO,7038331,29.4,2132701,5.68
2007,2,MS,3834009,46,872811,7.66
2007,2,MT,1322848,22,447185,6.81
2007,2,NC,11103299,39.1,3431975,7.55
2007,2,ND,1106080,7.7,323851,5.8
2007,2,NE,2341324,23.1,682521,5.61
2007,2,NH,956719,15,680448,13.98
2007,2,NJ,6256595,27.1,3795180,11.67
2007,2,NM,1662176,39.2,738669,7.37
2007,2,NV,2275458,36.8,1162634,9.48
2007,2,NY,12033235,16.2,7667674,14.44
2007,2,OH,13578228,19.4,4746623,7.55
2007,2,OK,4168121,39.3,1341574,6.66
2007,2,OR,4314556,36.5,1446201,6.88
2007,2,PA,12937803,20.1,5583107,8.8
2007,2,RI,644808,25.4,479914,12.74
2007,2,SC,6594608,45.2,1626695,7.16
2007,2,SD,948943,15.2,320800,6.47
2007,2,TN,9228785,35.9,2078406,6.9
2007,2,TX,26280458,49.4,7889234,9.99
2007,2,UT,2067897,34.3,885782,6.06
2007,2,VA,9834008,31.9,3008798,6.84
2007,2,VT,501505,12.8,307472,11.94
2007,2,WA,8076286,35.6,2412613,6.3
2007,2,WI,5818193,11.7,2367197,8.4
2007,2,WV,3134705,24.2,991482,5.2
2007,2,WY,1291005,24.8,258027,5.28
2007,3,AK,555841,-0.2,269698,13.29
2007,3,AL,6917584,60,1690169,7.14
2007,3,AR,3560249,59.5,1065666,7
2007,3,AZ,5177652,54.5,2608968,7.72
2007,3,CA,20314464,54.4,14034194,11.89
2007,3,CO,3971190,40.5,1939305,7.86
2007,3,CT,2821310,35.1,1577029,16.73
2007,3,DC,894891,46.3,239256,11.49
2007,3,DE,1029250,45.2,407351,10.89
2007,3,FL,16337005,66.3,7648917,10.32
2007,3,GA,10328602,60,2721269,7.41
2007,3,HI,878672,-99,467724,18.72
2007,3,IA,3587890,41.8,1111241,6.43
2007,3,ID,1688593,38.9,693981,4.91
2007,3,IL,11533737,48,5092553,8.12
2007,3,IN,8742375,47,2300171,6.31
2007,3,KS,2886253,52.3,1097576,6.51
2007,3,KY,7432994,53.3,1438711,5.47
2007,3,LA,5794018,63.4,1594434,8.3
2007,3,MA,4749249,34,2720558,15.27
2007,3,MD,5244928,44.9,2161788,10.38
2007,3,ME,1025393,25.8,838871,15.5
2007,3,MI,8600822,34.8,4336267,8.59
2007,3,MN,5393622,31.7,1809773,7.1
2007,3,MO,6355599,53,2133629,5.79
2007,3,MS,3565633,61.3,875745,7.72
2007,3,MT,1258835,38.9,448092,7.13
2007,3,NC,10046546,53.8,3437757,7.65
2007,3,ND,1014916,32.6,324087,6.39
2007,3,NE,2243313,45.6,691445,6.11
2007,3,NH,932431,28.1,681375,14.07
2007,3,NJ,6480389,40.9,3805722,11.45
2007,3,NM,1689087,47.6,739954,7.04
2007,3,NV,2548012,45.9,1169040,9.28
2007,3,NY,11872331,30.2,7674851,14.71
2007,3,OH,13213103,43.9,4786443,7.59
2007,3,OK,4014973,58.3,1342660,6.49
2007,3,OR,4131638,43.5,1448552,6.84
2007,3,PA,13129921,37.4,5592978,8.86
2007,3,RI,659538,36.7,481065,12.62
2007,3,SC,6190500,58.5,1630310,6.84
2007,3,SD,870280,40.2,322995,6.72
2007,3,TN,8364865,56.4,2083526,6.9
2007,3,TX,24998018,61.9,7910179,10.1
2007,3,UT,2044207,43,887324,6.03
2007,3,VA,8631721,49.2,3008780,6.89
2007,3,VT,502111,25.8,307641,12.04
2007,3,WA,7583950,41.5,2443166,6.3
2007,3,WI,5741482,34.6,2359026,8.07
2007,3,WV,2836149,46.5,991716,5.17
2007,3,WY,1274216,37.6,259276,5.4
2007,4,AK,526083,29.9,270488,12.68
2007,4,AL,6567213,60,1690608,7.32
2007,4,AR,3311107,57.4,1066137,6.32
2007,4,AZ,5139916,59.3,2596368,7.88
2007,4,CA,19585631,56.3,13763865,11.74
2007,4,CO,3776422,43.3,1941761,7.87
2007,4,CT,2514365,44.8,1577087,16.64
2007,4,DC,875980,52.2,238667,11.01
2007,4,DE,898005,51,407975,11.01
2007,4,FL,16360061,68.4,7659414,10.32
2007,4,GA,9630406,60.9,2723356,7.78
2007,4,HI,824903,66.3,468098,19.65
2007,4,IA,3371157,46.7,1110721,6.53
2007,4,ID,1666162,43,695058,4.65
2007,4,IL,11001136,50.2,5077819,8.05
2007,4,IN,8216581,49.4,2296300,6.52
2007,4,KS,2860468,50.9,1028230,6.65
2007,4,KY,6992116,53.5,1436749,5.75
2007,4,LA,5736985,63.9,1585515,8.55
2007,4,MA,4244987,43.3,2654413,15.04
2007,4,MD,4753488,51.1,2158375,10.46
2007,4,ME,915907,37,811998,14.24
2007,4,MI,8118264,41.8,4332365,8.45
2007,4,MN,5045626,41.2,1810825,7.46
2007,4,MO,5916024,52.3,2131839,5.99
2007,4,MS,3415531,61,876345,8
2007,4,MT,1223059,40.9,448703,6.93
2007,4,NC,9358710,57.3,3443266,7.52
2007,4,ND,949686,40.7,324464,6.1
2007,4,NE,2016995,46.4,683068,5.85
2007,4,NH,855846,39.2,681730,13.94
2007,4,NJ,5993219,48.6,3781517,11.36
2007,4,NM,1688238,51.6,739521,7.19
2007,4,NV,2443374,49.2,1172687,9.26
2007,4,NY,11041362,41.2,7670098,14.73
2007,4,OH,12108463,48.4,4766444,7.73
2007,4,OK,3855011,55.5,1341715,6.86
2007,4,OR,3759233,44.7,1449871,6.79
2007,4,PA,11628766,44.8,5591806,8.98
2007,4,RI,574891,44.8,481166,13.1
2007,4,SC,5974229,60.9,1632529,6.77
2007,4,SD,798162,42.9,320100,6.71
2007,4,TN,7733164,55.2,2084350,7.01
2007,4,TX,24502029,61.7,7897536,10.05
2007,4,UT,1963987,48.3,888437,6.05
2007,4,VA,8102935,53.4,3007341,6.85
2007,4,VT,448141,38.7,308088,12.03
2007,4,WA,6905711,44.9,2429653,6.21
2007,4,WI,5278173,42.8,2376847,8.16
2007,4,WV,2624080,49.6,990523,5.16
2007,4,WY,1248518,40.5,259353,5.14
2007,5,AK,482268,39.4,271596,12.91
2007,5,AL,7375902,71.2,1691928,7.48
2007,5,AR,3450736,71,1069253,6.45
2007,5,AZ,6385790,68.4,2592559,8.8
2007,5,CA,21178613,64.1,14145250,12.24
2007,5,CO,4004563,53.5,1943267,7.88
2007,5,CT,2661660,59.6,1575278,16.53
2007,5,DC,992734,66.1,238705,11.05
2007,5,DE,850658,64.3,408637,11.05
2007,5,FL,17965101,74.9,7675756,10.26
2007,5,GA,10731021,70.5,2726284,7.41
2007,5,HI,897563,68.1,468621,20.17
2007,5,IA,3540801,64.7,1110552,6.57
2007,5,ID,2004753,52,696459,4.64
2007,5,IL,11681503,67.6,5089712,8.26
2007,5,IN,8517467,66.2,2293769,6.51
2007,5,KS,3116223,65.9,1033177,6.89
2007,5,KY,7275466,67.8,1438419,5.64
2007,5,LA,6081840,73.9,1598307,8.75
2007,5,MA,4428465,58.4,2641742,14.32
2007,5,MD,4880859,64.6,2159418,10.69
2007,5,ME,924391,51.2,813575,14.35
2007,5,MI,8548464,57.8,4328978,8.46
2007,5,MN,5223247,58.7,1810854,7.1
2007,5,MO,6471169,68.3,2130305,6.71
2007,5,MS,3640071,72.2,878057,8.13
2007,5,MT,1167879,52.1,450224,7.11
2007,5,NC,9958022,66,3448105,7.56
2007,5,ND,864447,55.8,325032,6.36
2007,5,NE,2148722,62.1,684276,6.09
2007,5,NH,871684,54.3,683749,13.89
2007,5,NJ,6317904,62.8,3798791,11.95
2007,5,NM,1738654,60,740875,7.28
2007,5,NV,3039217,58.8,1173970,9.31
2007,5,NY,11294645,56.2,7664659,15.22
2007,5,OH,12771364,63.9,4767053,7.92
2007,5,OK,4229353,68.9,1343549,7
2007,5,OR,3729374,53.1,1454586,6.71
2007,5,PA,11535339,60.1,5689182,9.21
2007,5,RI,619536,59,480825,12.6
2007,5,SC,6399262,69.1,1635595,6.85
2007,5,SD,784686,60,324310,6.81
2007,5,TN,7802223,68.7,2099370,7.07
2007,5,TX,26883068,71.4,7894143,10.1
2007,5,UT,2268695,57.7,890844,6.42
2007,5,VA,8501729,64.4,3010953,6.97
2007,5,VT,457487,53.3,308833,12.07
2007,5,WA,6648580,52.9,2445441,6.11
2007,5,WI,5632319,59.1,2367264,8.39
2007,5,WV,2596706,62.9,990091,5.22
2007,5,WY,1228039,51.1,259748,5.37
2007,6,AK,476178,51,272087,13
2007,6,AL,8159604,78.8,1695414,7.97
2007,6,AR,4014591,77.1,1075710,6.81
2007,6,AZ,7211114,77.3,2595129,8.84
2007,6,CA,22041117,70.5,13898511,13.66
2007,6,CO,4311129,62.8,1944802,8.22
2007,6,CT,2871706,66.6,1574485,16.51
2007,6,DC,1086665,74,238935,12.14
2007,6,DE,980814,72.9,409080,11.5
2007,6,FL,20140005,80,7663142,10.33
2007,6,GA,12489768,77.7,2730894,8.29
2007,6,HI,892637,-99,468385,20.8
2007,6,IA,3864067,70.4,1110393,7.13
2007,6,ID,2268834,59.6,697425,5.16
2007,6,IL,12873831,72.7,5074907,8.59
2007,6,IN,9307185,72.1,2294876,6.49
2007,6,KS,3503835,72.3,1030993,7.49
2007,6,KY,7254462,73.7,1439952,6.34
2007,6,LA,7033980,80.1,1597698,8.35
2007,6,MA,4747643,65.6,2649663,15.41
2007,6,MD,5580131,72.6,2163532,12.4
2007,6,ME,982951,61.1,814645,14.03
2007,6,MI,9894436,67.1,4409363,8.83
2007,6,MN,5761750,67.2,1810608,8.17
2007,6,MO,7249347,73.4,2133160,7.72
2007,6,MS,4182456,79.2,880493,8.28
2007,6,MT,1218208,60.7,451736,7.21
2007,6,NC,11407821,74.1,3455402,7.71
2007,6,ND,883144,65.3,325381,6.77
2007,6,NE,2339874,69.2,692859,6.77
2007,6,NH,911579,62.5,685547,13.98
2007,6,NJ,7297539,70.6,3803452,14.43
2007,6,NM,1922152,69.8,741478,7.55
2007,6,NV,3476326,67.6,1178415,10.09
2007,6,NY,12511957,65.7,7664409,15.92
2007,6,OH,13741249,70.6,4760654,8.15
2007,6,OK,4962908,74.9,1344641,7.62
2007,6,OR,3785065,58.6,1455315,6.88
2007,6,PA,12552067,67.8,5590521,9.31
2007,6,RI,670795,66.5,480200,13.2
2007,6,SC,7282388,77.2,1638425,7.23
2007,6,SD,828054,68.2,323319,7.08
2007,6,TN,8852741,75.2,2091376,7.12
2007,6,TX,30251814,77.9,7845627,10.41
2007,6,UT,2407648,68.2,890613,6.96
2007,6,VA,9502027,71.9,3013683,7.3
2007,6,VT,474557,62.9,310602,12.07
2007,6,WA,6378273,57.5,2439539,6.16
2007,6,WI,6059249,66.9,2376055,8.83
2007,6,WV,2867494,69.2,989652,5.2
2007,6,WY,1241429,61,260204,5.3
2007,7,AK,492047,55.5,272653,13.46
2007,7,AL,8825467,79.2,1696273,7.8
2007,7,AR,4450818,77.6,1077288,7.41
2007,7,AZ,8462077,82,2597131,9.37
2007,7,CA,25005524,76.9,13994085,14.08
2007,7,CO,4988141,69.7,1946731,7.58
2007,7,CT,3170940,70.9,1575085,16.7
2007,7,DC,1182945,77.3,239791,12.61
2007,7,DE,1086899,76.1,408845,11.75
2007,7,FL,22421339,82.4,7588907,10.4
2007,7,GA,13231046,78.9,2735035,8.31
2007,7,HI,926897,70.4,468724,21.72
2007,7,IA,4330925,73.7,1110610,7.7
2007,7,ID,2557883,72,698149,5.28
2007,7,IL,13677722,73.3,5098837,8.56
2007,7,IN,9680522,71.9,2293790,6.72
2007,7,KS,4008593,78,1035809,7.59
2007,7,KY,7772758,74.6,1440662,6.37
2007,7,LA,7520143,80.2,1592756,8.66
2007,7,MA,5201079,70.1,2652334,15.15
2007,7,MD,6136372,75.4,2153290,12.62
2007,7,ME,1025518,64.6,818745,14.25
2007,7,MI,10002112,68,4405552,8.76
2007,7,MN,6507237,70.6,1810065,8.27
2007,7,MO,8181600,75.9,2136296,7.81
2007,7,MS,4615240,79.1,880365,8.21
2007,7,MT,1376639,73.3,452637,7.32
2007,7,NC,12384988,75.8,3461129,8.22
2007,7,ND,988990,73.1,325946,6.91
2007,7,NE,2785352,76.1,693720,7.16
2007,7,NH,994076,65.6,687470,14.11
2007,7,NJ,8051207,73.7,3798915,15.09
2007,7,NM,2157081,73.3,742760,7.61
2007,7,NV,4197139,76.9,1180272,11.08
2007,7,NY,13993053,66.7,7673965,15.98
2007,7,OH,14218343,70.6,4763378,8.44
2007,7,OK,5520603,78.7,1345685,7.9
2007,7,OR,4028925,69.6,1456137,7.13
2007,7,PA,13271675,68.8,5596920,9.5
2007,7,RI,735079,71.6,479630,13.37
2007,7,SC,7820079,78.5,1640669,7.52
2007,7,SD,968373,76.5,323575,7.24
2007,7,TN,9872443,76.2,2094641,7.11
2007,7,TX,32679289,79,7914607,10.37
2007,7,UT,2890938,76.2,892429,7.18
2007,7,VA,10358394,73.8,3018271,7.43
2007,7,VT,504956,64.6,309958,12.04
2007,7,WA,6735192,68.1,2438576,6.47
2007,7,WI,6601805,69.5,2375922,8.86
2007,7,WV,2743482,69.7,987869,5.42
2007,7,WY,1302370,70.7,260960,5.34
2007,8,AK,510676,53.2,273153,13.44
2007,8,AL,9505243,84.4,1702153,8.45
2007,8,AR,4838387,83.7,1081283,7.5
2007,8,AZ,8540643,80.5,2600990,9.3
2007,8,CA,25919908,76.1,14145388,13.99
2007,8,CO,4989533,68.8,1951177,7.45
2007,8,CT,3323599,70.3,1579266,16.14
2007,8,DC,1183885,78.7,239401,12.76
2007,8,DE,1142590,76.6,408391,11.88
2007,8,FL,23677372,83.7,7790032,10.43
2007,8,GA,14765144,83.2,2740372,9.13
2007,8,HI,948213,69.7,470235,22.39
2007,8,IA,4484557,74.2,1111912,7.71
2007,8,ID,2294606,65.4,700492,5.49
2007,8,IL,14587244,78.2,5076020,8.9
2007,8,IN,10639175,76.9,2293795,6.83
2007,8,KS,4473683,81.5,1032515,7.38
2007,8,KY,8508861,80.9,1442792,6.39
2007,8,LA,7947877,84.1,1601118,8.62
2007,8,MA,5465428,69.4,2649970,15.32
2007,8,MD,6436342,76.3,2154143,12.69
2007,8,ME,1064726,63.5,818943,14.34
2007,8,MI,10708773,68.8,4403598,9.03
2007,8,MN,6474460,66.5,1813985,7.87
2007,8,MO,9118872,81.3,2139079,7.85
2007,8,MS,4870495,84.2,882939,8.44
2007,8,MT,1417516,65.8,454181,7.3
2007,8,NC,13780121,80.6,3467751,8.18
2007,8,ND,966379,66,326445,6.76
2007,8,NE,2816424,75.6,694228,7.03
2007,8,NH,1037531,65.6,689900,14.1
2007,8,NJ,8355884,73.4,3798890,15.29
2007,8,NM,2198998,73.7,743980,7.77
2007,8,NV,3852678,72.9,1183181,10.69
2007,8,NY,14038983,67.8,7676064,16.33
2007,8,OH,15837250,75,4765052,8.44
2007,8,OK,6079036,82.6,1348575,8.04
2007,8,OR,4082970,64.8,1457313,7.06
2007,8,PA,14020374,70.6,5611873,9.39
2007,8,RI,850237,71,479334,12.43
2007,8,SC,8485224,84,1643460,7.62
2007,8,SD,987920,71.4,324483,7.19
2007,8,TN,10448900,82.6,2102136,7.13
2007,8,TX,35330836,81.8,7924912,10.28
2007,8,UT,2780520,72.8,895093,6.91
2007,8,VA,11076073,77.5,3024285,7.55
2007,8,VT,510318,64.6,310534,12.12
2007,8,WA,6772444,63.3,2462975,6.21
2007,8,WI,6726523,68.4,2374120,8.85
2007,8,WV,3158749,75,991936,5.61
2007,8,WY,1332647,66.4,261418,5.29
2007,9,AK,496463,43.5,273480,13.18
2007,9,AL,8604495,76,1702108,7.71
2007,9,AR,4626909,74.1,1075618,7.32
2007,9,AZ,8019524,73.8,2606558,9.12
2007,9,CA,24974681,67.5,13817027,13.85
2007,9,CO,4419940,59.7,1948221,7.6
2007,9,CT,2736996,64.6,1584183,16
2007,9,DC,1032513,71.2,239184,12.3
2007,9,DE,1107939,70,409532,11.7
2007,9,FL,23214150,80.5,7608580,10.4
2007,9,GA,12850472,75.8,2739647,8.14
2007,9,HI,910458,69.3,469924,20.86
2007,9,IA,3748838,64.7,1112343,7.17
2007,9,ID,1833667,54.9,702268,5.37
2007,9,IL,12249862,69.8,5099844,8.66
2007,9,IN,9363617,69,2296523,6.8
2007,9,KS,3574855,70.5,1032125,7.01
2007,9,KY,8079931,71.9,1442427,5.8
2007,9,LA,7921552,78.6,1600103,8.25
2007,9,MA,4737142,63.3,2651059,15.45
2007,9,MD,5455987,69.6,2157637,12.28
2007,9,ME,940244,57.2,816521,14.47
2007,9,MI,9017849,61.8,4402661,8.19
2007,9,MN,5950292,59.2,1812565,7.34
2007,9,MO,7903734,70.5,2140324,6.78
2007,9,MS,4810668,76.7,881460,8.14
2007,9,MT,1206362,55,454249,7.25
2007,9,NC,12196816,72.4,3472936,8.22
2007,9,ND,883794,58.1,326743,6.86
2007,9,NE,2318789,64.7,694892,6.93
2007,9,NH,926809,59,689042,13.61
2007,9,NJ,7049993,68,3866462,14.28
2007,9,NM,2029181,67,744832,7.52
2007,9,NV,3331943,61.4,1186949,10.62
2007,9,NY,13258709,62,7666195,15.51
2007,9,OH,13483285,67.4,4721825,8.07
2007,9,OK,4927323,74.1,1348001,8.02
2007,9,OR,3746653,56.6,1458842,7.19
2007,9,PA,12562637,64.4,5611087,9.15
2007,9,RI,632726,65,479095,14.46
2007,9,SC,7486891,75.7,1645073,7.48
2007,9,SD,852788,62.6,324391,7.25
2007,9,TN,10664872,73,2100444,6.98
2007,9,TX,33193019,77.1,7908387,10.3
2007,9,UT,2295146,61.7,897173,6.91
2007,9,VA,9339616,69.4,3026053,7.39
2007,9,VT,467318,58.8,310866,12.05
2007,9,WA,6275091,56.7,2430173,6.37
2007,9,WI,5993388,61.1,2377871,8.63
2007,9,WV,2578782,67.2,993072,5.46
2007,9,WY,1239860,55.6,261747,5.3
2007,10,AK,495542,25.3,273755,14.2
2007,10,AL,7407428,66.5,1702081,7.58
2007,10,AR,3954109,64,1079814,6.88
2007,10,AZ,6302185,62.4,2613733,8.93
