Year,Month,State,Temp,Count,price,Megawatthours
2007,1,AK,5.50,269682.00,12.92,609045.00
2007,1,AL,46.70,1685315.00,6.99,7441659.00
2007,1,AR,39.90,1065333.00,6.81,3841235.00
2007,1,AZ,39.00,2597967.00,7.52,5850650.00
2007,1,CA,41.50,14087158.00,12.42,22130082.00
2007,1,CO,19.40,1934723.00,7.76,4420407.00
2007,1,CT,31.30,1566683.00,16.97,2804614.00
2007,1,DC,39.10,239517.00,10.83,972078.00
2007,1,DE,40.10,406220.00,10.90,988162.00
2007,1,FL,61.30,7553650.00,10.17,18143569.00
2007,1,GA,49.20,2716750.00,7.15,11172635.00
2007,1,HI,66.90,467114.00,19.04,875078.00
2007,1,IA,21.60,1110674.00,6.49,3743093.00
2007,1,ID,20.70,692460.00,4.75,2117593.00
2007,1,IL,30.30,5025287.00,8.28,12285218.00
2007,1,IN,32.20,2301636.00,6.01,9195984.00
2007,1,KS,27.00,1094242.00,6.29,3284756.00
2007,1,KY,38.00,1436101.00,5.41,7974568.00
2007,1,LA,49.60,1582033.00,8.06,6320280.00
2007,1,MA,29.90,2681299.00,16.02,4827622.00
2007,1,MD,38.50,2162828.00,10.17,5602525.00
2007,1,ME,17.30,779814.00,14.36,1062730.00
2007,1,MI,24.10,4332875.00,8.38,9122606.00
2007,1,MN,14.50,1806177.00,6.96,5739459.00
2007,1,MO,31.70,2131997.00,5.73,7261512.00
2007,1,MS,46.20,872082.00,7.56,3781827.00
2007,1,MT,21.80,446236.00,6.91,1484907.00
2007,1,NC,44.20,3427057.00,7.50,10936011.00
2007,1,ND,13.70,323748.00,5.84,1134332.00
2007,1,NE,21.60,682230.00,5.64,2440906.00
2007,1,NH,21.50,680522.00,14.36,991103.00
2007,1,NJ,36.70,3776271.00,11.26,6624229.00
2007,1,NM,30.80,737321.00,6.98,1868002.00
2007,1,NV,27.40,1168073.00,9.48,2684455.00
2007,1,NY,25.20,7697355.00,14.33,12188676.00
2007,1,OH,33.00,4784278.00,7.64,13806090.00
2007,1,OK,35.10,1340239.00,6.39,4638300.00
2007,1,OR,30.20,1444609.00,6.86,4931154.00
2007,1,PA,31.30,5622712.00,8.77,12962129.00
2007,1,RI,32.80,479622.00,13.03,646697.00
2007,1,SC,48.40,1624410.00,7.01,6721798.00
2007,1,SD,20.10,319004.00,6.47,969970.00
2007,1,TN,40.20,2073473.00,6.92,8556770.00
2007,1,TX,42.50,7882416.00,9.93,28194356.00
2007,1,UT,22.40,884392.00,5.86,2369576.00
2007,1,VA,39.90,3004691.00,6.83,9731619.00
2007,1,VT,19.50,307668.00,11.82,537418.00
2007,1,WA,28.60,2427790.00,6.43,8610778.00
2007,1,WI,20.30,2373734.00,8.27,5981294.00
2007,1,WV,35.50,991248.00,5.16,3126527.00
2007,1,WY,16.50,258128.00,5.19,1397677.00
2007,2,AK,6.10,269194.00,12.68,554384.00
2007,2,AL,44.80,1688595.00,7.31,7267457.00
2007,2,AR,40.90,1063844.00,6.83,3864080.00
2007,2,AZ,46.70,2603426.00,7.59,5067907.00
2007,2,CA,46.70,13309185.00,11.98,19167557.00
2007,2,CO,27.70,1936756.00,7.71,3864880.00
2007,2,CT,23.30,1570096.00,17.14,2750957.00
2007,2,DC,28.60,239364.00,10.85,976064.00
2007,2,DE,29.60,406455.00,10.87,1017419.00
2007,2,FL,58.10,7645856.00,10.25,16942615.00
2007,2,GA,46.70,2722552.00,7.56,10835280.00
2007,2,HI,65.10,467022.00,19.68,762235.00
2007,2,IA,15.50,1111128.00,6.56,3590530.00
2007,2,ID,30.80,693177.00,4.74,1767158.00
2007,2,IL,21.70,5069685.00,8.31,11539288.00
2007,2,IN,20.20,2301564.00,6.18,9280174.00
2007,2,KS,30.00,1096030.00,6.34,3096718.00
2007,2,KY,29.80,1437167.00,5.64,7862481.00
2007,2,LA,50.60,1570346.00,8.37,6340637.00
2007,2,MA,22.40,2582862.00,15.87,4726666.00
2007,2,MD,28.30,2158893.00,10.18,5833935.00
2007,2,ME,11.60,779889.00,14.59,970424.00
2007,2,MI,15.20,4335585.00,8.62,8453175.00
2007,2,MN,7.70,1807477.00,7.12,5449311.00
2007,2,MO,29.40,2132701.00,5.68,7038331.00
2007,2,MS,46.00,872811.00,7.66,3834009.00
