State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AK,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.132700014482,-3.02096726347e-07,0.175448568696,-1.57489556379e-07
AL,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017099156095,-1.34301574624e-07,-0.23180451759,3.87490933909e-08
AR,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0361789094211,-2.07788116514e-07,-0.244166331339,-6.46582327596e-08
AZ,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0387041708907,-2.61248220256e-08,-0.195405843774,-6.9460765589e-09
CA,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0316895556973,1.33569038504e-06,0.141110197171,4.606134482e-07
CO,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0936987540071,-1.04739214039e-07,-0.178923425442,-4.80239063855e-08
CT,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0603091856864,-1.48363040017e-07,0.453589378049,-9.4430894491e-08
DC,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038423586283,-3.05672187467e-07,0.0319141757217,-1.47062931116e-07
DE,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0356177402056,-2.85912860595e-07,0.0367215477352,-1.4660098457e-07
FL,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238661966345,5.61272886899e-07,-0.0134124746913,3.46117308302e-07
GA,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0100845409016,-1.20454585838e-08,-0.220816238702,1.4590598716e-07
HI,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395789346678,-2.78695087366e-07,0.595750236162,-1.49848855951e-07
IA,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0875258926369,-2.02413842267e-07,-0.266142889115,-6.7476956833e-08
ID,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0900511541065,-2.51984798569e-07,-0.385640422022,-1.14162738468e-07
IL,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0631150317638,2.61585712895e-07,-0.143211519056,1.77860343967e-07
IN,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0577839242168,-6.12489715088e-08,-0.299107725779,8.91348416942e-08
KS,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0723743238191,-2.04361529227e-07,-0.279878237725,-8.06407963268e-08
KY,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0415100169681,-1.63840940364e-07,-0.340313771609,5.40547059442e-08
LA,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00896220247064,-1.46543602649e-07,-0.158320402527,6.54210777163e-09
MA,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0642373701947,-1.6247469927e-08,0.388346472151,-3.63283354421e-08
MD,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0401070939294,-7.77019006369e-08,-0.0134124746913,-1.40724435649e-08
ME,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0995910307695,-2.41630718322e-07,0.274343078688,-1.44459326394e-07
MI,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0805112774435,1.79514034292e-07,-0.136343844751,8.7027361359e-08
MN,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.107447399786,-1.19975787059e-07,-0.233864819882,-1.01395793247e-08
MO,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0591868472555,-8.13563028179e-08,-0.318337213833,3.35751139974e-08
MS,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0185020791337,-2.30694181056e-07,-0.192658774052,-6.63644824769e-08
MT,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0869647234214,-2.81169759246e-07,-0.237298657034,-1.32334033725e-07
NC,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0241137712884,7.21473165458e-08,-0.196779378635,1.39109938933e-07
ND,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.109692076648,-2.95688276789e-07,-0.310782772098,-1.42402854332e-07
NE,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0875258926369,-2.53197361714e-07,-0.324518120708,-1.04876906344e-07
NH,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0878064772446,-2.53399811162e-07,0.274343078688,-1.46516516477e-07
NJ,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0451576168687,1.13539694453e-07,0.0614451752332,1.52717888803e-08
NM,2007,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0617121087251,-2.46667418781e-07,-0.232491285021,-1.21331210276e-07
