State,Year,Month,Megawatthours
AK,2007,1,609045
AL,2007,1,7441659
AR,2007,1,3841235
AZ,2007,1,5850650
CA,2007,1,22130082
CO,2007,1,4420407
CT,2007,1,2804614
DC,2007,1,972078
DE,2007,1,988162
FL,2007,1,18143569
GA,2007,1,11172635
HI,2007,1,875078
IA,2007,1,3743093
ID,2007,1,2117593
IL,2007,1,12285218
IN,2007,1,9195984
KS,2007,1,3284756
KY,2007,1,7974568
LA,2007,1,6320280
MA,2007,1,4827622
MD,2007,1,5602525
ME,2007,1,1062730
MI,2007,1,9122606
MN,2007,1,5739459
MO,2007,1,7261512
MS,2007,1,3781827
MT,2007,1,1484907
NC,2007,1,10936011
ND,2007,1,1134332
NE,2007,1,2440906
NH,2007,1,991103
NJ,2007,1,6624229
NM,2007,1,1868002
NV,2007,1,2684455
NY,2007,1,12188676
OH,2007,1,13806090
OK,2007,1,4638300
OR,2007,1,4931154
PA,2007,1,12962129
RI,2007,1,646697
SC,2007,1,6721798
SD,2007,1,969970
TN,2007,1,8556770
TX,2007,1,28194356
UT,2007,1,2369576
VA,2007,1,9731619
VT,2007,1,537418
WA,2007,1,8610778
WI,2007,1,5981294
WV,2007,1,3126527
WY,2007,1,1397677
AK,2007,2,554384
AL,2007,2,7267457
AR,2007,2,3864080
AZ,2007,2,5067907
CA,2007,2,19167557
CO,2007,2,3864880
CT,2007,2,2750957
DC,2007,2,976064
DE,2007,2,1017419
FL,2007,2,16942615
GA,2007,2,10835280
HI,2007,2,762235
IA,2007,2,3590530
ID,2007,2,1767158
IL,2007,2,11539288
IN,2007,2,9280174
KS,2007,2,3096718
KY,2007,2,7862481
LA,2007,2,6340637
MA,2007,2,4726666
MD,2007,2,5833935
ME,2007,2,970424
MI,2007,2,8453175
MN,2007,2,5449311
MO,2007,2,7038331
MS,2007,2,3834009
MT,2007,2,1322848
NC,2007,2,11103299
ND,2007,2,1106080
NE,2007,2,2341324
NH,2007,2,956719
NJ,2007,2,6256595
NM,2007,2,1662176
NV,2007,2,2275458
NY,2007,2,12033235
OH,2007,2,13578228
OK,2007,2,4168121
OR,2007,2,4314556
PA,2007,2,12937803
RI,2007,2,644808
SC,2007,2,6594608
SD,2007,2,948943
TN,2007,2,9228785
TX,2007,2,26280458
UT,2007,2,2067897
VA,2007,2,9834008
VT,2007,2,501505
WA,2007,2,8076286
WI,2007,2,5818193
WV,2007,2,3134705
WY,2007,2,1291005
AK,2007,3,555841
AL,2007,3,6917584
AR,2007,3,3560249
AZ,2007,3,5177652
CA,2007,3,20314464
CO,2007,3,3971190
CT,2007,3,2821310
DC,2007,3,894891
DE,2007,3,1029250
FL,2007,3,16337005
GA,2007,3,10328602
HI,2007,3,878672
IA,2007,3,3587890
ID,2007,3,1688593
IL,2007,3,11533737
IN,2007,3,8742375
KS,2007,3,2886253
KY,2007,3,7432994
LA,2007,3,5794018
MA,2007,3,4749249
MD,2007,3,5244928
ME,2007,3,1025393
MI,2007,3,8600822
MN,2007,3,5393622
MO,2007,3,6355599
MS,2007,3,3565633
MT,2007,3,1258835
NC,2007,3,10046546
ND,2007,3,1014916
NE,2007,3,2243313
NH,2007,3,932431
NJ,2007,3,6480389
NM,2007,3,1689087
NV,2007,3,2548012
NY,2007,3,11872331
OH,2007,3,13213103
OK,2007,3,4014973
OR,2007,3,4131638
PA,2007,3,13129921
RI,2007,3,659538
SC,2007,3,6190500
SD,2007,3,870280
TN,2007,3,8364865
TX,2007,3,24998018
UT,2007,3,2044207
VA,2007,3,8631721
VT,2007,3,502111
WA,2007,3,7583950
WI,2007,3,5741482
WV,2007,3,2836149
WY,2007,3,1274216
AK,2007,4,526083
AL,2007,4,6567213
AR,2007,4,3311107
AZ,2007,4,5139916
CA,2007,4,19585631
CO,2007,4,3776422
CT,2007,4,2514365
DC,2007,4,875980
DE,2007,4,898005
FL,2007,4,16360061
GA,2007,4,9630406
HI,2007,4,824903
IA,2007,4,3371157
ID,2007,4,1666162
IL,2007,4,11001136
IN,2007,4,8216581
KS,2007,4,2860468
KY,2007,4,6992116
LA,2007,4,5736985
MA,2007,4,4244987
MD,2007,4,4753488
ME,2007,4,915907
MI,2007,4,8118264
MN,2007,4,5045626
MO,2007,4,5916024
MS,2007,4,3415531
MT,2007,4,1223059
NC,2007,4,9358710
ND,2007,4,949686
NE,2007,4,2016995
NH,2007,4,855846
NJ,2007,4,5993219
NM,2007,4,1688238
NV,2007,4,2443374
NY,2007,4,11041362
OH,2007,4,12108463
OK,2007,4,3855011
OR,2007,4,3759233
PA,2007,4,11628766
RI,2007,4,574891
SC,2007,4,5974229
SD,2007,4,798162
TN,2007,4,7733164
TX,2007,4,24502029
UT,2007,4,1963987
VA,2007,4,8102935
VT,2007,4,448141
WA,2007,4,6905711
WI,2007,4,5278173
WV,2007,4,2624080
WY,2007,4,1248518
AK,2007,5,482268
AL,2007,5,7375902
AR,2007,5,3450736
AZ,2007,5,6385790
CA,2007,5,21178613
CO,2007,5,4004563
CT,2007,5,2661660
DC,2007,5,992734
DE,2007,5,850658
FL,2007,5,17965101
GA,2007,5,10731021
HI,2007,5,897563
IA,2007,5,3540801
ID,2007,5,2004753
IL,2007,5,11681503
IN,2007,5,8517467
KS,2007,5,3116223
KY,2007,5,7275466
LA,2007,5,6081840
MA,2007,5,4428465
MD,2007,5,4880859
ME,2007,5,924391
MI,2007,5,8548464
MN,2007,5,5223247
MO,2007,5,6471169
MS,2007,5,3640071
MT,2007,5,1167879
NC,2007,5,9958022
ND,2007,5,864447
NE,2007,5,2148722
NH,2007,5,871684
NJ,2007,5,6317904
NM,2007,5,1738654
NV,2007,5,3039217
NY,2007,5,11294645
OH,2007,5,12771364
OK,2007,5,4229353
OR,2007,5,3729374
PA,2007,5,11535339
RI,2007,5,619536
SC,2007,5,6399262
SD,2007,5,784686
TN,2007,5,7802223
TX,2007,5,26883068
UT,2007,5,2268695
VA,2007,5,8501729
VT,2007,5,457487
WA,2007,5,6648580
WI,2007,5,5632319
WV,2007,5,2596706
WY,2007,5,1228039
AK,2007,6,476178
AL,2007,6,8159604
AR,2007,6,4014591
AZ,2007,6,7211114
CA,2007,6,22041117
CO,2007,6,4311129
CT,2007,6,2871706
DC,2007,6,1086665
DE,2007,6,980814
FL,2007,6,20140005
GA,2007,6,12489768
HI,2007,6,892637
IA,2007,6,3864067
ID,2007,6,2268834
IL,2007,6,12873831
IN,2007,6,9307185
KS,2007,6,3503835
KY,2007,6,7254462
LA,2007,6,7033980
MA,2007,6,4747643
MD,2007,6,5580131
ME,2007,6,982951
MI,2007,6,9894436
MN,2007,6,5761750
MO,2007,6,7249347
MS,2007,6,4182456
MT,2007,6,1218208
NC,2007,6,11407821
ND,2007,6,883144
NE,2007,6,2339874
NH,2007,6,911579
NJ,2007,6,7297539
NM,2007,6,1922152
NV,2007,6,3476326
NY,2007,6,12511957
OH,2007,6,13741249
OK,2007,6,4962908
OR,2007,6,3785065
PA,2007,6,12552067
RI,2007,6,670795
SC,2007,6,7282388
SD,2007,6,828054
TN,2007,6,8852741
TX,2007,6,30251814
UT,2007,6,2407648
VA,2007,6,9502027
VT,2007,6,474557
WA,2007,6,6378273
WI,2007,6,6059249
WV,2007,6,2867494
WY,2007,6,1241429
AK,2007,7,492047
AL,2007,7,8825467
AR,2007,7,4450818
AZ,2007,7,8462077
CA,2007,7,25005524
CO,2007,7,4988141
CT,2007,7,3170940
DC,2007,7,1182945
DE,2007,7,1086899
FL,2007,7,22421339
GA,2007,7,13231046
HI,2007,7,926897
IA,2007,7,4330925
ID,2007,7,2557883
