State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AK,2007,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00333870328819,-5.47115709529e-07,-1.25535758893,-7.24356976605e-08
AK,2007,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0526022296605,-4.53656580406e-07,2.8936169745599996,6.08532641873e-09
AK,2007,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24250646009799998,-4.26711710518e-07,-3.0613818106800004,-3.7591101227199996e-08
AK,2007,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754943994104,-3.96752030013e-07,1.03878128736,-5.725983559909999e-08
AK,2007,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925199007426,-4.5488134721899997e-07,0.355420771017,-4.47453260558e-09
AK,2007,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.034957491476599996,-4.4781538483599995e-07,2.16144499277,2.62507813357e-08
AK,2007,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.020172703313400004,-4.54033431733e-07,-0.18150534896499998,3.0112608672e-08
AK,2007,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0801673270555,-4.70332251631e-07,-1.3529805198299998,-1.58403382044e-08
AK,2007,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.14908007054300002,-4.75231318883e-07,4.89488705813,2.75799837317e-09
AK,2007,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0461163243911,-5.8159760596e-07,-4.62334870517,6.78689669484e-08
AK,2007,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0971928283877,-5.19322924155e-07,5.28537878175,6.80942402096e-08
AK,2008,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0631418257233,3.4928247299099997e-06,-2.47564422525,5.3331145925099996e-08
AK,2008,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00901387039893,-5.24127778576e-07,0.7947239600920001,-4.05504363055e-08
AK,2008,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08684473363189998,-4.19363109639e-07,1.2340271491700001,-6.254606156880001e-08
AK,2008,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827910428385,-4.6138203261199997e-07,4.35796093815,-4.18153246795e-08
AK,2008,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129003117883,-4.02122161424e-07,0.7947239600920001,-2.6183319244200002e-08
AK,2008,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771158757278,-4.4696746935e-07,-2.62207862161,-2.89033889333e-08
AK,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0179319901444,-4.1992838663e-07,4.260338007240001,1.5426471091600002e-08
