State,Year,Month,Megawatthours,Temp,Count,price
AK,2007,2,-7.24E-08,0.003338703,-5.47E-07,-1.255357589
AK,2007,3,6.09E-09,-0.05260223,-4.54E-07,2.893616975
AK,2007,4,-3.76E-08,0.24250646,-4.27E-07,-3.061381811
AK,2007,5,-5.73E-08,0.075494399,-3.97E-07,1.038781287
AK,2007,6,-4.47E-09,0.092519901,-4.55E-07,0.355420771
AK,2007,7,2.63E-08,0.034957491,-4.48E-07,2.161444993
AK,2007,8,3.01E-08,-0.020172703,-4.54E-07,-0.181505349
AK,2007,9,-1.58E-08,-0.080167327,-4.70E-07,-1.35298052
AK,2007,10,2.76E-09,-0.149080071,-4.75E-07,4.894887058
AK,2007,11,6.79E-08,-0.046116324,-5.82E-07,-4.623348705
AK,2007,12,6.81E-08,-0.097192828,-5.19E-07,5.285378782
AK,2008,1,5.33E-08,-0.063141826,3.49E-06,-2.475644225
AK,2008,2,-4.06E-08,0.00901387,-5.24E-07,0.79472396
AK,2008,3,-6.25E-08,0.086844734,-4.19E-07,1.234027149
AK,2008,4,-4.18E-08,0.082791043,-4.61E-07,4.357960938
AK,2008,5,-2.62E-08,0.129003118,-4.02E-07,0.79472396
AK,2008,6,-2.89E-08,0.077115876,-4.47E-07,-2.622078622
AK,2008,7,1.54E-08,0.01793199,-4.20E-07,4.260338007
AK,2008,8,2.81E-08,-0.024226394,-4.98E-07,-2.622078622
AK,2008,9,1.55E-08,-0.059898873,-4.23E-07,-1.987529571
AK,2008,10,3.06E-08,-0.182320335,-5.17E-07,-1.255357589
AK,2008,11,4.67E-08,-0.076924374,-6.85E-07,-0.27912828
AK,2008,12,5.13E-08,-0.030712299,-5.71E-07,-1.255357589
AK,2009,1,6.19E-08,-0.051791492,-5.13E-07,4.602018265
AK,2009,2,-8.95E-08,0.041443397,-5.26E-07,-3.207816207
AK,2009,3,-2.84E-08,0.014689038,-3.95E-07,2.307879389
AK,2009,4,-2.92E-08,0.136299761,-5.07E-07,-1.88990664
