M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24
4.50047700724e-05,4.51258856629e-05,4.53062421002e-05,4.55085864814e-05,4.57111127616e-05,4.59015682281e-05,4.60735500383e-05,4.62240823254e-05,4.63523574581e-05,4.64586155431e-05,4.6543766075e-05,4.66092133138e-05,4.66565797979e-05,4.66877063445e-05,4.6704441047e-05,4.67087847937e-05,4.67027166451e-05,4.6688142902e-05,4.66669844172e-05,4.66409001092e-05,4.66114761366e-05,4.65801094833e-05,4.65479934064e-05,4.65161465399e-05
4.50037150586e-05,4.5121745643e-05,4.53006687167e-05,4.55025328847e-05,4.57051392004e-05,4.58959657408e-05,4.60684714199e-05,4.62196076114e-05,4.63485084765e-05,4.64553486381e-05,4.65410957986e-05,4.66070960101e-05,4.66549863631e-05,4.66865494673e-05,4.67037425551e-05,4.67084792035e-05,4.67027020932e-05,4.66884266643e-05,4.66674500785e-05,4.66415331175e-05,4.66122328362e-05,4.65809462185e-05,4.65488737973e-05,4.6516997827e-05
4.50059924333e-05,4.51254200016e-05,4.53048596682e-05,4.55068038718e-05,4.5709162805e-05,4.58996400994e-05,4.60717383248e-05,4.62224743387e-05,4.63508731627e-05,4.64573058707e-05,4.65426674054e-05,4.66082528874e-05,4.66558230983e-05,4.6687109716e-05,4.67040044896e-05,4.67084792035e-05,4.67025347461e-05,4.66881210741e-05,4.66670135211e-05,4.66410019726e-05,4.66116289317e-05,4.65803059342e-05,4.65482626169e-05,4.65164084744e-05
4.50108673249e-05,4.51276318927e-05,4.53054999525e-05,4.55065419374e-05,4.57083551737e-05,4.5898497774e-05,4.60704141005e-05,4.62210336991e-05,4.63494034193e-05,4.64558215754e-05,4.65411758341e-05,4.66068850073e-05,4.66545134259e-05,4.66858655273e-05,4.6702898544e-05,4.67075260531e-05,4.67017343908e-05,4.66874007543e-05,4.66664751002e-05,4.66405581392e-05,4.66113524453e-05,4.65801240352e-05,4.65481389256e-05,4.65163429908e-05
4.50279221695e-05,4.51463747595e-05,4.53241482319e-05,4.55240915471e-05,4.57242895209e-05,4.59126349597e-05,4.60825649498e-05,4.62312127638e-05,4.63577198389e-05,4.64623553853e-05,4.65460507257e-05,4.66102173959e-05,4.66565215902e-05,4.66867313662e-05,4.6702738473e-05,4.67065292469e-05,4.67000827484e-05,4.66852616228e-05,4.66639867227e-05,4.66378660349e-05,4.66085439257e-05,4.65772791358e-05,4.65453886136e-05,4.6513738198e-05
4.50065745099e-05,4.51264895673e-05,4.53062057204e-05,4.55081863038e-05,4.57104870293e-05,4.59008842881e-05,4.60728151666e-05,4.62233692815e-05,4.63516371383e-05,4.64579097752e-05,4.65431403427e-05,4.66086312372e-05,4.66560559289e-05,4.66872406832e-05,4.67040626972e-05,4.67084719276e-05,4.67024547106e-05,4.6687961003e-05,4.6666846174e-05,4.66407909698e-05,4.66114397568e-05,4.65801094833e-05,4.65480152343e-05,4.65161901957e-05
4.50047700724e-05,4.51246705779e-05,4.53044740425e-05,4.55066219729e-05,4.57091045973e-05,4.58996473753e-05,4.60717965325e-05,4.62225689262e-05,4.63510114059e-05,4.64574950456e-05,4.65427983727e-05,4.66084566142e-05,4.6656041377e-05,4.66873134428e-05,4.67041936645e-05,4.67086829303e-05,4.67027166451e-05,4.66882302135e-05,4.66671372124e-05,4.66410892841e-05,4.66117162432e-05,4.65804005216e-05,4.65482917207e-05,4.65164230263e-05
4.50045081379e-05,4.51249907201e-05,4.5305077947e-05,4.55073422927e-05,4.57098685729e-05,4.59004113509e-05,4.60724804725e-05,4.62231582787e-05,4.63515352749e-05,4.6457938879e-05,4.65432203782e-05,4.66087549285e-05,4.66562378278e-05,4.66874807898e-05,4.67043100798e-05,4.67087265861e-05,4.6702723921e-05,4.66882083856e-05,4.66670717287e-05,4.66410601803e-05,4.66116289317e-05,4.65802768304e-05,4.65481753054e-05,4.65163357148e-05
4.50047264167e-05,4.51254563814e-05,4.53056672995e-05,4.55079971289e-05,4.57105015812e-05,4.59009570477e-05,4.60729825136e-05,4.62236093881e-05,4.63519354525e-05,4.64582153654e-05,4.6543438657e-05,4.66089441034e-05,4.6656383347e-05,4.66875753773e-05,4.67043391836e-05,4.6708733862e-05,4.67027020932e-05,4.66881647299e-05,4.66669989692e-05,4.66409510409e-05,4.66115343443e-05,4.65802040708e-05,4.65480952698e-05,4.65162338514e-05
4.50177431048e-05,4.51310879725e-05,4.53068241768e-05,4.55065055576e-05,4.57075038867e-05,4.58971080661e-05,4.60686460428e-05,4.62190255348e-05,4.6347227908e-05,4.64536315121e-05,4.65389566671e-05,4.66047022201e-05,4.66524470539e-05,4.66839446744e-05,4.67011595902e-05,4.67059544462e-05,4.67003592348e-05,4.66862366011e-05,4.666548557e-05,4.66398014396e-05,4.66107412649e-05,4.65797165816e-05,4.65478333354e-05,4.65161974716e-05
