M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24
-0.011728274635970592,-0.010679591447114944,-0.007958798669278622,0.00014461632235907018,0.007851392962038517,0.014849146828055382,0.016886385157704353,0.020059088245034218,0.02269866317510605,0.03501715138554573,0.043656665831804276,0.04327142611145973,0.040657494217157364,0.036717385053634644,0.03146057575941086,0.02920304797589779,0.02542269043624401,0.0216697845607996,0.014353863894939423,0.00810809526592493,0.0032975494395941496,0.009548649191856384,0.013689104467630386,0.009628433734178543
-0.03445688262581825,-0.053751975297927856,-0.07367545366287231,-0.08536460995674133,-0.09329935908317566,-0.09596402198076248,-0.10065009444952011,-0.10479339957237244,-0.10407108813524246,-0.09385107457637787,-0.08399086445569992,-0.08470091223716736,-0.08273717015981674,-0.08106211572885513,-0.08243861794471741,-0.07771606743335724,-0.07253474742174149,-0.06521640717983246,-0.0628325343132019,-0.0604686364531517,-0.05514870956540108,-0.04090752452611923,-0.028563963249325752,-0.026602063328027725
-0.01130565907806158,-0.021988695487380028,-0.031706299632787704,-0.034123290330171585,-0.03485250473022461,-0.033041954040527344,-0.03490196913480759,-0.03631376475095749,-0.03511981666088104,-0.02368244342505932,-0.014184858649969101,-0.014532349072396755,-0.014848708175122738,-0.016160551458597183,-0.01959194615483284,-0.01855722814798355,-0.017995545640587807,-0.016343815252184868,-0.019095243886113167,-0.02148270048201084,-0.021528633311390877,-0.011287245899438858,-0.003035843838006258,-0.004170450381934643
-0.03850110247731209,-0.09125213325023651,-0.14345422387123108,-0.1820163130760193,-0.20593826472759247,-0.21786364912986755,-0.22554506361484528,-0.22966721653938293,-0.2284540981054306,-0.21971558034420013,-0.2079073041677475,-0.20870736241340637,-0.2041786164045334,-0.20009130239486694,-0.20041638612747192,-0.19370490312576294,-0.18413665890693665,-0.17150315642356873,-0.16394244134426117,-0.15627358853816986,-0.14542317390441895,-0.12866578996181488,-0.11275395005941391,-0.1087048128247261
-0.03237204998731613,-0.06702927500009537,-0.10238896310329437,-0.12875060737133026,-0.14774417877197266,-0.1576010137796402,-0.1670558601617813,-0.1744692474603653,-0.17596080899238586,-0.16902241110801697,-0.1602490246295929,-0.16295376420021057,-0.16049699485301971,-0.1576874852180481,-0.15824055671691895,-0.15123923122882843,-0.1424330770969391,-0.13033223152160645,-0.12321007996797562,-0.11612535268068314,-0.10576654225587845,-0.08804067224264145,-0.07195557653903961,-0.06715204566717148
-0.021490616723895073,-0.03394314646720886,-0.04754567891359329,-0.05441167578101158,-0.0592472180724144,-0.06034955009818077,-0.0645967349410057,-0.06847802549600601,-0.06828569620847702,-0.05801592022180557,-0.048583127558231354,-0.049460891634225845,-0.048816051334142685,-0.04881950840353966,-0.051452331244945526,-0.04867472127079964,-0.04584212228655815,-0.04121946915984154,-0.041383542120456696,-0.04148626700043678,-0.03881372883915901,-0.026521464809775352,-0.016121940687298775,-0.015697844326496124
-0.06958775222301483,-0.07258335500955582,-0.07863342761993408,-0.07955088466405869,-0.07974031567573547,-0.07751934975385666,-0.07927882671356201,-0.08137916028499603,-0.07979941368103027,-0.06888878345489502,-0.059048186987638474,-0.05955132842063904,-0.05826713517308235,-0.05755254626274109,-0.05956445634365082,-0.0559990257024765,-0.05232955887913704,-0.04683295637369156,-0.04617958888411522,-0.04544544219970703,-0.04192229360342026,-0.02897951938211918,-0.01794983260333538,-0.01700536161661148
-0.03890335559844971,-0.03768296539783478,-0.03723372891545296,-0.03238466754555702,-0.02820693515241146,-0.023676544427871704,-0.02381180040538311,-0.023399071767926216,-0.021615376695990562,-0.009799815714359283,-0.00027208845131099224,-0.00026093615451827645,-0.000888125563506037,-0.002596287988126278,-0.006171918008476496,-0.005752172786742449,-0.00619343388825655,-0.005905325524508953,-0.00972431804984808,-0.013063137419521809,-0.014360153116285801,-0.0050661745481193066,0.002188953571021557,0.0003598132461775094
-0.023880260065197945,-0.012850074097514153,0.0007288059568963945,0.01871730387210846,0.03525242954492569,0.04825093597173691,0.056355901062488556,0.06767887622117996,0.07478490471839905,0.0896790400147438,0.09849812090396881,0.09998777508735657,0.09706590324640274,0.0924258902668953,0.0868130698800087,0.08249515295028687,0.07495560497045517,0.06603145599365234,0.05425238609313965,0.044604480266571045,0.03492138534784317,0.036513786762952805,0.03564229607582092,0.028163058683276176
-0.0239162128418684,-0.025984840467572212,-0.029498005285859108,-0.027925189584493637,-0.026448752731084824,-0.023771589621901512,-0.025551874190568924,-0.02713039144873619,-0.02636955864727497,-0.015503527596592903,-0.006714286748319864,-0.007505479268729687,-0.008386536501348019,-0.01022297702729702,-0.014112644828855991,-0.013557658530771732,-0.013515004888176918,-0.012421758845448494,-0.015632878988981247,-0.0183955579996109,-0.01884433813393116,-0.008909035474061966,-0.0009750676690600812,-0.002334179822355509
