M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24
-2.37610929616e-05,-2.37576841755e-05,-2.37420263147e-05,-2.37164458667e-05,-2.36864907492e-05,-2.36572741414e-05,-2.36323940044e-05,-2.36136838794e-05,-2.36017222051e-05,-2.35961306316e-05,-2.35960851569e-05,-2.3600530767e-05,-2.36084379139e-05,-2.36188734561e-05,-2.36310352193e-05,-2.3644295652e-05,-2.36581145145e-05,-2.36721389228e-05,-2.36860905716e-05,-2.3699743906e-05,-2.37129352172e-05,-2.37255735556e-05,-2.37376007135e-05,-2.37489566643e-05
-2.37627300521e-05,-2.37578569795e-05,-2.37408858084e-05,-2.37145613937e-05,-2.36842606682e-05,-2.36551750277e-05,-2.36305950239e-05,-2.36123451032e-05,-2.36007963395e-05,-2.35955885728e-05,-2.35958614212e-05,-2.36005853367e-05,-2.36087216763e-05,-2.36193045566e-05,-2.36315700022e-05,-2.36449013755e-05,-2.36587475229e-05,-2.3672801035e-05,-2.36867654166e-05,-2.37003860093e-05,-2.37135645875e-05,-2.37261738221e-05,-2.37381682382e-05,-2.3749526008e-05
-2.37624808506e-05,-2.37584008573e-05,-2.37420317717e-05,-2.37159511016e-05,-2.36857304117e-05,-2.36564283114e-05,-2.36316118389e-05,-2.3613056328e-05,-2.3601220164e-05,-2.35957922996e-05,-2.35958705161e-05,-2.36004088947e-05,-2.3608434276e-05,-2.36189407588e-05,-2.36311461776e-05,-2.36444211623e-05,-2.36582927755e-05,-2.36723280977e-05,-2.36862942984e-05,-2.36999403569e-05,-2.37131152971e-05,-2.37257700064e-05,-2.37377826124e-05,-2.37491367443e-05
-2.37657350226e-05,-2.37603162532e-05,-2.37426538661e-05,-2.37155654759e-05,-2.36847827182e-05,-2.36551986745e-05,-2.36303239944e-05,-2.36118394241e-05,-2.36001396843e-05,-2.35948500631e-05,-2.35951320064e-05,-2.35998249991e-05,-2.36079540628e-05,-2.3618551495e-05,-2.36308696913e-05,-2.36441992456e-05,-2.36581163335e-05,-2.36721807596e-05,-2.36861524172e-05,-2.36998257606e-05,-2.37130516325e-05,-2.37257081608e-05,-2.37377189478e-05,-2.37491167354e-05
-2.37701005972e-05,-2.37662170548e-05,-2.37489857682e-05,-2.37215008383e-05,-2.36896739807e-05,-2.36588784901e-05,-2.36327359744e-05,-2.36130708799e-05,-2.36004270846e-05,-2.35943698499e-05,-2.35939969571e-05,-2.35982588492e-05,-2.36060714087e-05,-2.3616496037e-05,-2.3628688723e-05,-2.36419782595e-05,-2.36559008044e-05,-2.36699997913e-05,-2.36840642174e-05,-2.36978194152e-05,-2.37111380557e-05,-2.37238855334e-05,-2.37360363826e-05,-2.37475105678e-05
-2.37623207795e-05,-2.37584736169e-05,-2.37422918872e-05,-2.37162912526e-05,-2.36860978475e-05,-2.36568066612e-05,-2.36318865063e-05,-2.36132527789e-05,-2.36013165704e-05,-2.35958068515e-05,-2.35958341364e-05,-2.36003434111e-05,-2.36083069467e-05,-2.36187788687e-05,-2.36309824686e-05,-2.36442629102e-05,-2.36581181525e-05,-2.36721407418e-05,-2.36861033045e-05,-2.36997675529e-05,-2.37129534071e-05,-2.37255990214e-05,-2.37376334553e-05,-2.37489894062e-05
-2.37616204686e-05,-2.37578115048e-05,-2.37417534663e-05,-2.37159001699e-05,-2.36858013523e-05,-2.36565992964e-05,-2.36318155658e-05,-2.36132509599e-05,-2.36014420807e-05,-2.35959432757e-05,-2.35959869315e-05,-2.36005616898e-05,-2.36085452343e-05,-2.36190480791e-05,-2.36312189372e-05,-2.36445084738e-05,-2.36583455262e-05,-2.36723790294e-05,-2.36863124883e-05,-2.36999730987e-05,-2.37131662288e-05,-2.37257863773e-05,-2.37378080783e-05,-2.37491440203e-05
-2.37613348872e-05,-2.37576532527e-05,-2.37417607423e-05,-2.37160420511e-05,-2.3686025088e-05,-2.36568594119e-05,-2.36320629483e-05,-2.36134255829e-05,-2.36015512201e-05,-2.35960378632e-05,-2.35960305872e-05,-2.3600536224e-05,-2.36084924836e-05,-2.36189698626e-05,-2.36311680055e-05,-2.36444375332e-05,-2.36582709476e-05,-2.3672280804e-05,-2.36862269958e-05,-2.36998876062e-05,-2.37130516325e-05,-2.37257045228e-05,-2.37377080339e-05,-2.37490839936e-05
-2.37612421188e-05,-2.37577150983e-05,-2.37418935285e-05,-2.3716229407e-05,-2.36862397287e-05,-2.36570485868e-05,-2.36322030105e-05,-2.36135438172e-05,-2.36016076087e-05,-2.35960578721e-05,-2.35960505961e-05,-2.36005198531e-05,-2.36084633798e-05,-2.3618906198e-05,-2.36310752371e-05,-2.36443411268e-05,-2.36581763602e-05,-2.36721934925e-05,-2.36861451413e-05,-2.36997911998e-05,-2.37129952438e-05,-2.37256408582e-05,-2.3737688025e-05,-2.37490075961e-05
-2.37691529037e-05,-2.37621716224e-05,-2.37429667322e-05,-2.37147432927e-05,-2.36831765505e-05,-2.36532832787e-05,-2.36283231061e-05,-2.36099058384e-05,-2.35984152823e-05,-2.35933512158e-05,-2.35938259721e-05,-2.35987008637e-05,-2.36069954553e-05,-2.36177529587e-05,-2.36301748373e-05,-2.36436026171e-05,-2.36575870076e-05,-2.3671762392e-05,-2.36858031712e-05,-2.36995310843e-05,-2.3712798793e-05,-2.37254844251e-05,-2.37375334109e-05,-2.37489366555e-05
