M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23
3.5940329996499996e-08,9.01486324107e-08,-1.11641690168e-08,-5.5184803012199995e-08,-7.0504833759100005e-09,-6.123919681080001e-08,-1.18819651847e-08,-5.25669256246e-09,1.9323278748e-08,3.36134391051e-08,-2.9402907904e-08,5.4412737421800006e-08,4.3196647592900004e-08,8.97162756545e-08,2.1659964129e-08,-7.05271713972e-08,8.06521253498e-09,-7.05621517173e-08,-4.123325215340001e-08,-1.49168577544e-08,2.96816511287e-08,1.72342540331e-08,-1.35652181867e-08,3.38037320463e-08
-5.98776178555e-07,5.25391964553e-07,1.46108474388e-06,-1.0040049968600001e-06,-7.39173191209e-07,-3.3535477940999997e-07,9.976458745469999e-07,1.5563963216e-06,1.13699207839e-06,6.2757642579e-08,-1.06333161971e-06,-1.71951904872e-06,-7.73688972634e-07,1.02090219055e-06,2.2796689586900001e-07,-1.4749492436700002e-06,6.58757932872e-07,-1.59538093861e-07,6.726549144310001e-07,8.131736585989998e-07,1.42038863951e-06,-1.3519044164200001e-08,-1.6373446800100001e-06,-6.093668202609999e-07
-6.724937050819999e-07,3.1266264604699996e-07,6.56337294722e-07,-2.10614958022e-07,-4.4611366647e-07,-2.804762540630001e-07,1.02685579126e-07,8.04887520379e-07,1.35189297516e-06,-1.1464155265e-07,-5.44924675406e-07,-7.37046387749e-07,-5.78725459088e-07,2.9298831482399995e-07,4.918766202819999e-07,-6.93968823182e-07,-1.82735692688e-08,-1.7879126203e-07,1.81956581267e-07,7.86683761812e-07,6.60902926099e-07,2.66590766083e-07,-7.30481281277e-07,-3.0280908961199997e-07
-1.57033358045e-06,1.02859226411e-06,-4.6687383659500004e-08,-1.00094631767e-06,1.82663183733e-07,1.06729304126e-07,1.20655254367e-06,2.75144158924e-06,1.25826884809e-06,-8.311840259220001e-07,-2.00141285529e-06,-1.00397841182e-06,-1.52901622559e-06,3.72492985504e-07,1.64449630676e-07,-1.12934508054e-06,7.90738680515e-07,1.71403718307e-07,1.24667916844e-06,2.43147939994e-06,1.01133297419e-06,-3.0675347050300004e-07,-1.7417889196900002e-06,-1.7139138022299998e-06
-6.21564872659e-06,2.33413896366e-06,-2.00056773076e-06,-2.12269662106e-06,2.28203647652e-06,-1.5030356422700002e-06,3.4317807806799996e-07,4.15702220972e-06,2.16099197614e-06,4.36431558648e-06,-3.94989783782e-06,-3.88909084783e-06,-2.3277204746599997e-06,1.4247849661299999e-06,-4.48149521099e-07,-3.05465769984e-06,2.3777230432599997e-06,-2.8924525564400007e-06,2.7562352923099997e-06,3.35444913725e-06,2.95422950078e-06,3.4505960450099996e-06,-2.85929820907e-06,-4.26736942834e-06
-2.11356540807e-07,4.2758139277100003e-07,6.55980445691e-08,-6.37959733891e-07,1.3221876375899998e-07,-3.80395439539e-07,3.3043124943299997e-07,7.55804534463e-07,8.76448859976e-07,-2.03905732631e-07,-8.20986563014e-07,-4.5305935882399996e-07,-1.6121295158599998e-07,7.00047303475e-07,-1.18734250099e-07,-7.969173043760001e-07,4.00198798216e-07,-3.80581534841e-07,3.36593382617e-07,6.48156097463e-07,9.201686632190001e-07,-2.44312199956e-07,-6.37173376295e-07,-6.57565503686e-07
-1.40189779221e-07,3.38557877393e-07,3.42657570906e-07,-2.45882116721e-07,-9.77740423102e-08,-1.65085972624e-07,-2.2092715638e-07,6.0085710787e-07,4.0964208542399997e-07,4.35545712046e-07,-4.836307593569999e-07,-8.37708555223e-07,-1.68057950385e-08,4.62181126964e-07,1.80729471639e-07,-4.07940342779e-07,3.0035651967799996e-08,-1.02377452432e-07,-2.54983996005e-07,4.87200451095e-07,5.14167479447e-07,-7.503543504850001e-08,-5.14600935539e-07,-2.1541145950999999e-07
8.49813395291e-08,3.10962552725e-08,1.80937954347e-07,2.9901327538700003e-08,-9.90165432792e-08,-2.08952693212e-07,1.0724981128899999e-07,2.8065145554e-07,1.31050421068e-07,2.7473693325499998e-08,-2.15422653213e-07,-1.5819484957e-07,-7.8995207281e-08,1.05851997699e-07,5.612677310549999e-08,-1.71175346743e-07,1.0006625275800001e-07,-8.924723948860002e-08,7.12074886963e-08,2.03301572577e-07,1.71449892329e-07,-1.05851697822e-07,-1.5837954565999998e-07,-4.9610339205000004e-08
-3.3193375387299994e-08,-3.8511783251599995e-08,2.4743694202199996e-07,-4.9303911601199995e-08,-1.2663140715899998e-07,-1.2610250472e-07,9.70845302752e-08,1.55501664801e-07,2.50483028295e-07,1.10782823617e-07,-2.57852382251e-07,-2.2074385950300003e-07,-4.9625730545800003e-08,1.4653830758499998e-07,7.98868057134e-08,-1.65812164069e-07,5.76043418255e-08,-1.1805283346400001e-07,1.23020289025e-08,1.71045519829e-07,2.54679267491e-07,-7.78702401874e-08,-7.92400695215e-08,-2.1149926051300002e-07
-1.59463510841e-06,-8.647077654690002e-07,-4.18554771102e-07,-1.52447438083e-06,8.490242890369998e-07,1.44300966313e-07,3.31175915463e-06,3.6476807651699998e-06,3.7305379497199996e-06,-7.688854750810002e-07,-2.34651050339e-06,-3.73070695459e-06,-4.00422787175e-06,6.989391269359999e-07,-4.49585113435e-07,-2.5069820221299998e-06,1.40747670376e-06,1.91139060185e-06,3.6505337600699997e-06,9.72212383427e-07,3.2057072194400007e-06,3.75991017512e-07,-3.30962365602e-06,-1.6852551256e-06
-9.19088171058e-07,6.54112546366e-07,2.47029776073e-06,-1.35479324343e-06,-1.0513767455200001e-06,-7.012209431399999e-07,1.4599345909600001e-06,2.7534368667e-06,2.4284473058e-06,-4.6355770225199996e-08,-2.0279405308200003e-06,-3.02478310728e-06,-1.39277067732e-06,1.42560490484e-06,4.17616199188e-07,-2.36269799631e-06,9.762253257459998e-07,-1.1839424138800001e-07,1.0624602100100001e-06,1.7790880352599999e-06,2.2407331137799998e-06,-9.75585635385e-08,-2.59631336432e-06,-1.0755033718799999e-06
-1.54877365781e-08,-3.04215348246e-08,-3.9495429852099996e-08,-6.04248549595e-08,4.21192537346e-08,1.55579970951e-08,4.80854971266e-08,-7.51642123932e-09,8.88361708014e-08,5.8691530173399995e-08,-6.38865074341e-08,1.87440046475e-08,-1.03605961273e-07,4.523250222130001e-08,-6.27951214478e-08,-9.26697140048e-08,1.3902593404500002e-07,-2.6162331052200006e-08,5.4477101210800005e-08,-2.67794336651e-09,8.18652926168e-08,3.5708060671199995e-08,-4.625502690340001e-08,1.56097679688e-08
2.1056903410900004e-08,5.129711525e-07,3.51752454125e-07,-4.74516287159e-07,-4.33726485292e-08,-4.3747772505e-07,1.2948050430299998e-07,7.539127987529998e-07,2.3607813248800001e-07,2.6394205624699996e-07,-8.77700855558e-07,-2.13866728576e-07,4.49974344704e-08,8.529658715029999e-07,-8.738768567339999e-08,-7.61231781049e-07,3.09892204697e-07,-5.94736651193e-07,2.1818919680100003e-07,6.82582329268e-07,4.4253477999700003e-07,-4.788048744e-07,-4.0276885225900003e-07,5.0860136115e-08
1.44168041096e-07,3.64724556022e-07,2.5398660738599997e-08,-3.57514112571e-07,-8.96236277326e-08,-8.20370959147e-08,2.4164280180500003e-07,7.5346225223e-07,2.13073674793e-07,-1.02408235114e-07,-8.57440254171e-07,-1.86495327723e-07,4.139021409740001e-09,6.81076776292e-07,1.4218675576700002e-07,-6.3986126409e-07,-2.0731986163699998e-08,-1.96425540986e-07,3.76948079069e-07,4.6899389410200004e-07,6.65909309508e-07,-3.79210306294e-07,-7.740555663880002e-07,-2.10246965054e-07
-6.39018987749e-08,1.1215405714e-06,1.37325755545e-06,-1.39916368062e-06,-4.5338957304600003e-07,-8.97569677361e-07,6.36986181657e-07,2.74739086818e-06,2.21802808763e-06,5.257333724770001e-07,-3.21167176374e-06,-2.12829906912e-06,-7.14367946637e-07,2.83946746589e-06,-3.02891643167e-07,-2.48430358102e-06,7.744966182979998e-07,-1.55899016226e-06,9.327783690000001e-07,2.56069810151e-06,2.01178971732e-06,-1.5615815043700001e-06,-9.421611901799999e-07,-1.60145906925e-06
-4.63109904388e-07,1.0433231765e-06,1.19759198488e-06,-5.25996124607e-07,-7.826775156800001e-07,-1.07363402358e-06,5.53485359212e-07,1.4084211724e-06,1.3393504316e-06,6.408829893130001e-07,-2.12347458338e-06,-1.41247858966e-06,-2.11899435375e-07,1.6647415665700004e-06,-4.25875452488e-07,-1.78836871391e-06,8.69423412492e-07,-1.27886076303e-06,9.23585540884e-07,9.561256338309998e-07,1.21732088541e-06,-4.990710726390001e-07,-1.23772670505e-06,-6.68845957304e-07
-1.57327337632e-07,3.474232897130001e-07,4.89295072661e-07,-5.37949599583e-07,-2.96893217881e-07,-6.071868964809999e-08,3.72828796577e-07,1.2569395959200001e-06,4.6289332628100004e-07,-4.69644277945e-08,-7.90830728683e-07,-8.04107858971e-07,-2.05232186368e-07,5.450914816060001e-07,-3.6870506633599995e-08,-7.76902964442e-07,1.95954306149e-07,-1.00690001792e-07,3.47018917213e-07,7.39089538318e-07,9.398653818469999e-07,-5.022542817649999e-07,-5.08931325261e-07,-6.14685228125e-07
-3.7283129512600004e-07,5.58374208745e-07,1.4336223942e-06,-5.80065904953e-07,-8.01029590805e-07,-4.86872735422e-07,2.3465093542899998e-07,1.12174625568e-06,9.428485035430001e-07,4.4600063011000005e-07,-1.1263045911200002e-06,-1.18517087296e-06,-2.8819711031e-07,1.19657195875e-06,9.595396633029999e-08,-1.29646286009e-06,3.91565655222e-07,-7.03980190788e-07,7.16818268132e-07,5.04761970985e-07,1.12088154217e-06,-2.7033475966700003e-07,-1.1699992085299999e-06,-4.54192721195e-07
-9.131051371129999e-07,1.448788412e-07,8.56258219229e-07,-5.39330622619e-07,-6.80893179538e-07,2.4238713325e-08,3.62008683971e-07,1.7157596638e-06,1.35841750446e-06,-9.01637238746e-08,-4.88533601019e-07,-1.03811640578e-06,-1.2878688950600001e-06,-3.22862607504e-07,7.01771133649e-07,-1.27458756713e-06,3.34819131016e-08,5.653254979510002e-07,3.63276370771e-07,1.13969815595e-06,9.61090040856e-07,1.36885138457e-07,-5.432190349989999e-07,-6.90589724263e-07
-3.09025792096e-07,4.18548074915e-07,4.99002811088e-07,-4.58264430452e-07,-4.49229763149e-08,-5.03230932302e-07,-2.0971251553000002e-08,6.52774898926e-07,9.800269869319999e-07,6.48367378596e-07,-9.751406359469999e-07,-9.67141336352e-07,-2.3753721156399997e-07,5.88961000619e-07,1.83329209027e-07,-5.05027521541e-07,9.51284307766e-08,-4.14239598818e-07,-1.4944837033800002e-07,6.740569256600001e-07,1.01596296935e-06,-4.01617300122e-07,-4.24322326276e-07,3.44374405015e-07
3.01100950656e-07,2.2122968622199998e-07,1.43192794749e-06,-5.89998916642e-07,-6.70750285929e-07,-8.85493071658e-07,3.5015455310399997e-07,1.0265144331e-06,1.54657244851e-06,1.9500144223e-07,-1.63483729067e-06,-1.23629531035e-06,1.0444578883200001e-07,1.3078331632100001e-06,4.0995685853800013e-08,-1.09530922911e-06,5.00874957818e-07,-1.11105876842e-06,3.39698235827e-07,1.25619521471e-06,1.18783247558e-06,-8.9747453089e-07,-1.02421942423e-06,-5.37563416849e-07
-2.5155592463800003e-07,3.07541527188e-07,-7.63646872113e-08,-6.966945394889999e-08,8.16120350995e-08,-1.38472945111e-07,-2.01737002553e-08,2.56966930657e-08,6.07511714195e-08,2.09146084455e-07,-1.01989870486e-07,-1.69755145748e-07,-3.81228020923e-08,2.5329404681599996e-07,5.3927210579199996e-08,-2.73345865619e-07,2.1604700199999996e-07,-2.0926751609200002e-07,4.995339645180001e-09,8.24235785252e-08,2.9201721137199997e-08,1.0259178210100001e-08,4.2130447437e-08,-6.161558505479999e-08
-1.13434032001e-07,9.168609241530001e-07,5.11454405822e-07,-1.0934944501e-06,2.98320714817e-07,-6.3815422447e-07,5.72683958082e-07,1.18980396642e-06,1.4856982963e-06,5.58144737846e-07,-2.57878542554e-06,-9.46515540423e-07,-2.61428770176e-07,1.25833461109e-06,7.40115111536e-08,-1.4879829109299999e-06,8.509943806640002e-07,-1.09220017826e-06,6.281137732729999e-07,1.28340430688e-06,1.1161745903e-06,-7.34018491243e-07,-9.83229485161e-07,-5.71387987149e-07
-1.0906289120499999e-07,7.819922012840002e-07,4.28026342443e-07,-7.16336639051e-07,-1.00422752146e-07,-6.851146045649999e-07,2.54379835951e-07,7.363862591819998e-07,8.51660405958e-07,1.1680923315899999e-07,-1.2140856055299999e-06,-2.4242046424699995e-07,-1.1855515086e-07,1.19067147836e-06,-2.20878233698e-08,-1.13073309964e-06,5.06285713728e-07,-8.35145197367e-07,2.41788319937e-07,5.95838131546e-07,7.32185822348e-07,-5.32268795603e-07,-3.42313064679e-07,-4.7401257054899996e-07
-6.96792484386e-08,9.88819640186e-07,9.425854515360001e-07,-8.42591807905e-07,-1.09089471271e-06,-7.71798636137e-07,5.35820297574e-07,2.24588641454e-06,1.1005341895899999e-06,2.45283503752e-08,-1.4949495914799999e-06,-1.60544822496e-06,-4.5119980500900004e-07,1.9044686961099998e-06,1.10234332198e-07,-1.7719643430000003e-06,1.3401675221099999e-07,-6.68939704562e-07,1.14276662962e-06,8.8431803278e-07,1.85818133738e-06,-1.33694488491e-06,-9.30432988465e-07,-9.728487253760001e-07
-6.37477005474e-07,1.36904727436e-07,5.73641019639e-07,-1.35175000535e-07,-4.29053064763e-07,-2.3418050005e-07,3.9191965606100003e-07,7.81091108239e-07,1.0104570669700001e-06,5.8816060112900004e-08,-4.0228192620300005e-07,-7.617676795520002e-07,-7.98927973174e-07,2.2183274694e-07,3.600204025780001e-07,-6.84352033587e-07,5.9400931064600005e-08,4.90439081299e-09,3.36327532185e-07,5.649463112810001e-07,7.76946639916e-07,1.1496786910999999e-07,-5.8997792845e-07,-4.66829012019e-07
1.29914260272e-07,2.2799767855e-07,6.54805106936e-08,-1.8333870364000002e-07,-1.23318071242e-07,-4.38819619895e-08,-7.046980367230001e-08,1.1517075496700001e-07,7.200783841970002e-08,5.713140789809999e-08,-1.6834334003e-07,-9.51449712201e-09,6.634102656749999e-08,2.90987440516e-07,2.1762111640300002e-07,-2.56239089889e-07,-1.42685974861e-07,-1.12772204346e-07,-6.25866387401e-08,4.79917498688e-08,2.18240967675e-07,1.38873370083e-08,-1.5117220051099998e-07,-6.819048601619999e-08
