State,Year,Month,Temp,Count,price,Megawatthours
AK,2007,1,5.5,269682,12.92,609045
AL,2007,1,46.7,1685315,6.99,7441659
AR,2007,1,39.9,1065333,6.81,3841235
AZ,2007,1,39,2597967,7.52,5850650
CA,2007,1,41.5,14087158,12.42,22130082
CO,2007,1,19.4,1934723,7.76,4420407
CT,2007,1,31.3,1566683,16.97,2804614
DC,2007,1,39.1,239517,10.83,972078
DE,2007,1,40.1,406220,10.9,988162
FL,2007,1,61.3,7553650,10.17,18143569
GA,2007,1,49.2,2716750,7.15,11172635
HI,2007,1,66.9,467114,19.04,875078
IA,2007,1,21.6,1110674,6.49,3743093
ID,2007,1,20.7,692460,4.75,2117593
IL,2007,1,30.3,5025287,8.28,12285218
IN,2007,1,32.2,2301636,6.01,9195984
KS,2007,1,27,1094242,6.29,3284756
KY,2007,1,38,1436101,5.41,7974568
LA,2007,1,49.6,1582033,8.06,6320280
MA,2007,1,29.9,2681299,16.02,4827622
MD,2007,1,38.5,2162828,10.17,5602525
ME,2007,1,17.3,779814,14.36,1062730
MI,2007,1,24.1,4332875,8.38,9122606
MN,2007,1,14.5,1806177,6.96,5739459
MO,2007,1,31.7,2131997,5.73,7261512
MS,2007,1,46.2,872082,7.56,3781827
MT,2007,1,21.8,446236,6.91,1484907
NC,2007,1,44.2,3427057,7.5,10936011
ND,2007,1,13.7,323748,5.84,1134332
NE,2007,1,21.6,682230,5.64,2440906
NH,2007,1,21.5,680522,14.36,991103
NJ,2007,1,36.7,3776271,11.26,6624229
NM,2007,1,30.8,737321,6.98,1868002
NV,2007,1,27.4,1168073,9.48,2684455
NY,2007,1,25.2,7697355,14.33,12188676
OH,2007,1,33,4784278,7.64,13806090
OK,2007,1,35.1,1340239,6.39,4638300
OR,2007,1,30.2,1444609,6.86,4931154
PA,2007,1,31.3,5622712,8.77,12962129
RI,2007,1,32.8,479622,13.03,646697
SC,2007,1,48.4,1624410,7.01,6721798
SD,2007,1,20.1,319004,6.47,969970
TN,2007,1,40.2,2073473,6.92,8556770
TX,2007,1,42.5,7882416,9.93,28194356
UT,2007,1,22.4,884392,5.86,2369576
VA,2007,1,39.9,3004691,6.83,9731619
VT,2007,1,19.5,307668,11.82,537418
WA,2007,1,28.6,2427790,6.43,8610778
WI,2007,1,20.3,2373734,8.27,5981294
WV,2007,1,35.5,991248,5.16,3126527
WY,2007,1,16.5,258128,5.19,1397677
AK,2007,2,6.1,269194,12.68,554384
AL,2007,2,44.8,1688595,7.31,7267457
AR,2007,2,40.9,1063844,6.83,3864080
AZ,2007,2,46.7,2603426,7.59,5067907
CA,2007,2,46.7,13309185,11.98,19167557
CO,2007,2,27.7,1936756,7.71,3864880
CT,2007,2,23.3,1570096,17.14,2750957
DC,2007,2,28.6,239364,10.85,976064
DE,2007,2,29.6,406455,10.87,1017419
FL,2007,2,58.1,7645856,10.25,16942615
GA,2007,2,46.7,2722552,7.56,10835280
HI,2007,2,65.1,467022,19.68,762235
IA,2007,2,15.5,1111128,6.56,3590530
ID,2007,2,30.8,693177,4.74,1767158
IL,2007,2,21.7,5069685,8.31,11539288
IN,2007,2,20.2,2301564,6.18,9280174
KS,2007,2,30,1096030,6.34,3096718
KY,2007,2,29.8,1437167,5.64,7862481
LA,2007,2,50.6,1570346,8.37,6340637
MA,2007,2,22.4,2582862,15.87,4726666
MD,2007,2,28.3,2158893,10.18,5833935
ME,2007,2,11.6,779889,14.59,970424
MI,2007,2,15.2,4335585,8.62,8453175
MN,2007,2,7.7,1807477,7.12,5449311
MO,2007,2,29.4,2132701,5.68,7038331
MS,2007,2,46,872811,7.66,3834009
MT,2007,2,22,447185,6.81,1322848
NC,2007,2,39.1,3431975,7.55,11103299
ND,2007,2,7.7,323851,5.8,1106080
NE,2007,2,23.1,682521,5.61,2341324
NH,2007,2,15,680448,13.98,956719
NJ,2007,2,27.1,3795180,11.67,6256595
NM,2007,2,39.2,738669,7.37,1662176
NV,2007,2,36.8,1162634,9.48,2275458
NY,2007,2,16.2,7667674,14.44,12033235
OH,2007,2,19.4,4746623,7.55,13578228
OK,2007,2,39.3,1341574,6.66,4168121
OR,2007,2,36.5,1446201,6.88,4314556
PA,2007,2,20.1,5583107,8.8,12937803
RI,2007,2,25.4,479914,12.74,644808
SC,2007,2,45.2,1626695,7.16,6594608
