State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Count,Megawatthours
AK,2007,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.47115709529e-07,-7.24356976605e-08
AK,2007,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.53656580406e-07,6.08532641873e-09
AK,2007,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26711710518e-07,-3.75911012272e-08
AK,2007,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.96752030013e-07,-5.72598355991e-08
AK,2007,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.54881347219e-07,-4.47453260558e-09
AK,2007,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.47815384836e-07,2.62507813357e-08
AK,2007,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.54033431733e-07,3.0112608672e-08
AK,2007,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.70332251631e-07,-1.58403382044e-08
AK,2007,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.75231318883e-07,2.75799837317e-09
AK,2007,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.8159760596e-07,6.78689669484e-08
AK,2007,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.19322924155e-07,6.80942402096e-08
AK,2008,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49282472991e-06,5.33311459251e-08
AK,2008,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24127778576e-07,-4.05504363055e-08
AK,2008,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.19363109639e-07,-6.25460615688e-08
AK,2008,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.61382032612e-07,-4.18153246795e-08
AK,2008,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.02122161424e-07,-2.61833192442e-08
AK,2008,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4696746935e-07,-2.89033889333e-08
AK,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.1992838663e-07,1.54264710916e-08
AK,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.9784239851e-07,2.81369201941e-08
AK,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.23225835742e-07,1.55076254342e-08
AK,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.17344454688e-07,3.05785465354e-08
AK,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.84949082419e-07,4.67142685797e-08
AK,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.71422620128e-07,5.1349860596e-08
AK,2009,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.12633813099e-07,6.18789369387e-08
AK,2009,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.25823609548e-07,-8.95060938572e-08
AK,2009,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.95338837536e-07,-2.8373087281e-08
AK,2009,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0688683036e-07,-2.91720377915e-08
AK,2009,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.35567716705e-07,-3.42217967975e-08
AK,2009,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.13521914069e-07,-1.14272210237e-08
AK,2009,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.44423722892e-07,2.14962562311e-08
AK,2009,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.79941960472e-07,1.59791601488e-08
AK,2009,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.47061682182e-07,-1.03092499941e-08
AK,2009,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.5192056395e-07,4.05997086305e-08
AK,2009,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0439711125e-07,4.78434333117e-08
AK,2009,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.69861187472e-07,8.11880736202e-08
AK,2010,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.01893550276e-07,9.35948437777e-09
AK,2010,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.09807428145e-07,-8.49796404395e-08
AK,2010,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.89968706125e-07,2.39868550204e-08
AK,2010,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.08300022837e-07,-6.15204385842e-08
AK,2010,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.33023970247e-07,-2.92839748157e-08
AK,2010,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.99201563639e-07,-1.19323368456e-08
AK,2010,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.79094044986e-07,3.35252886985e-08
AK,2010,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.39618868471e-07,2.4913133896e-08
AK,2010,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.67694292341e-07,-2.1610691804e-08
AK,2010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.68690448006e-07,3.45131329374e-08
AK,2010,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.87815652857e-07,4.59265117716e-08
