State,Year,Month,Count,price,Megawatthours
AK,2007,2,-488,-0.2400000000000002,-54661
AK,2007,3,504,0.6099999999999994,1457
AK,2007,4,790,-0.6099999999999994,-29758
AK,2007,5,1108,0.23000000000000045,-43815
AK,2007,6,491,0.08999999999999986,-6090
AK,2007,7,566,0.4600000000000009,15869
AK,2007,8,500,-0.02000000000000135,18629
AK,2007,9,327,-0.2599999999999998,-14213
AK,2007,10,275,1.0199999999999996,-921
AK,2007,11,-854,-0.9299999999999996,45613
AK,2007,12,-193,1.0999999999999996,45774
AK,2008,1,42393,-0.4899999999999984,35223
AK,2008,2,-244,0.17999999999999972,-31873
AK,2008,3,868,0.2699999999999996,-47593
AK,2008,4,422,0.91,-32777
AK,2008,5,1051,0.17999999999999972,-21605
AK,2008,6,575,-0.5199999999999996,-23549
AK,2008,7,862,0.8899999999999988,8133
AK,2008,8,35,-0.5199999999999996,17217
AK,2008,9,827,-0.3899999999999988,8191
AK,2008,10,-172,-0.2400000000000002,18962
AK,2008,11,-1951,-0.040000000000000924,30494
AK,2008,12,-746,-0.2400000000000002,33807
AK,2009,1,-122,0.9600000000000009,41332
AK,2009,2,-262,-0.6400000000000006,-66861
AK,2009,3,1123,0.4900000000000002,-23170
AK,2009,4,-61,-0.3699999999999992,-23741
AK,2009,5,696,0.4599999999999991,-27350
AK,2009,6,930,0.2599999999999998,-11059
AK,2009,7,602,0.15000000000000036,12471
AK,2009,8,225,-0.8699999999999992,8528
AK,2009,9,574,0.4599999999999991,-10260
AK,2009,10,-539,-0.4599999999999991,26124
AK,2009,11,-1096,0.35999999999999943,31301
AK,2009,12,332,-0.4000000000000004,55132
AK,2010,1,-8,-0.4399999999999995,3797
AK,2010,2,-92,0.27999999999999936,-63626
AK,2010,3,1180,-0.16000000000000014,14251
AK,2010,4,-76,0.5,-46860
AK,2010,5,723,0.2700000000000013,-23821
AK,2010,6,1082,-0.21000000000000085,-11420
AK,2010,7,234,-0.2400000000000002,21068
AK,2010,8,653,-0.08999999999999986,14913
AK,2010,9,355,-0.08999999999999986,-18337
AK,2010,10,-717,-0.0600000000000005,21774
AK,2010,11,-920,0.5400000000000009,29931
AK,2010,12,-28,0.05999999999999873,70218
AK,2011,1,152,0.3500000000000014,13008
AK,2011,2,-424,0.08999999999999986,-65552
AK,2011,3,1347,0.2999999999999989,8242
AK,2011,4,-28,0.16000000000000014,-52779
AK,2011,5,61,-0.15000000000000036,-27204
AK,2011,6,1641,0.4100000000000019,-16994
AK,2011,7,173,0.4599999999999973,10237
AK,2011,8,864,-0.5,20179
AK,2011,9,284,0.16000000000000014,-9964
AK,2011,10,-609,0.08999999999999986,24294
AK,2011,11,-92,-0.259999999999998,52140
AK,2011,12,-608,-0.1999999999999993,43347
AK,2012,1,-120,0.9499999999999992,13884
AK,2012,2,279,-1.0500000000000007,-23565
AK,2012,3,216,0.91,-38426
AK,2012,4,309,-0.9700000000000006,-40954
AK,2012,5,-1066,0.8900000000000023,-35177
AK,2012,6,2358,-0.4700000000000024,-13673
AK,2012,7,-342,0.8800000000000026,24594
AK,2012,8,937,-0.4500000000000029,8001
AK,2012,9,-488,-1.1599999999999984,-11602
AK,2012,10,954,0.8100000000000005,23054
AK,2012,11,-1126,-0.7500000000000018,55073
AK,2012,12,-507,0.3100000000000005,60344
AK,2013,1,508,-0.2599999999999998,-12664
AK,2013,2,-442,0.3899999999999988,-84030
AK,2013,3,550,0.15000000000000213,10803
AK,2013,4,362,0.6600000000000001,-25128
AK,2013,5,1005,-0.08999999999999986,-19545
AK,2013,6,355,-0.3500000000000014,-27241
AK,2013,7,815,0.6000000000000014,11741
AK,2013,8,73,-0.8800000000000026,22679
AK,2013,9,326,0.010000000000001565,-15216
AK,2013,10,537,0.19000000000000128,16863
AK,2013,11,-1056,0.6199999999999974,21600
AK,2013,12,-428,0.24000000000000196,76102
AK,2014,1,475,-0.8900000000000006,-1138
AK,2014,2,-535,0.3500000000000014,-69654
AK,2014,3,730,-0.07000000000000027,20403
AK,2014,4,-5961,0.0,-58833
AK,2014,5,12442,1.379999999999999,-22200
AK,2014,6,498,0.4899999999999984,-8526
AK,2014,7,772,0.14000000000000054,12749
AK,2014,8,337,-0.2699999999999996,9479
AK,2014,9,707,-0.5799999999999983,-146
AK,2014,10,622,0.36999999999999744,19790
AK,2014,11,-400,-0.11999999999999746,25338
AK,2014,12,-174,-1.370000000000001,45681
AK,2015,1,-6022,0.5599999999999987,6483
AK,2015,2,-9,-0.01999999999999957,-33690
AK,2015,3,915,0.17999999999999972,-11404
AK,2015,4,804,-0.09999999999999787,-39086
AK,2015,5,293,0.3499999999999979,-25397
AK,2015,6,731,0.6000000000000014,-14223
AK,2015,7,582,0.14999999999999858,16136
AK,2015,8,476,-0.37000000000000105,16376
AK,2015,9,573,-0.2299999999999969,-8329
AK,2015,10,252,-0.07000000000000027,21450
AK,2015,11,-1218,0.23000000000000045,22794
AK,2015,12,304,-1.0600000000000025,61536
AK,2016,1,-656,0.1999999999999993,-10871
AK,2016,2,185,0.10000000000000142,-42332
AK,2016,3,1227,0.3000000000000007,-7931
AK,2016,4,104,0.6999999999999993,-46659
AK,2016,5,744,0.0,-11384
AK,2016,6,939,0.05999999999999873,-6649
AK,2016,7,-218,0.17999999999999972,10918
AK,2016,8,1015,-0.41999999999999815,21131
AK,2016,9,505,-0.10999999999999943,-23906
AK,2016,10,-235,0.39000000000000057,35996
AK,2016,11,-275,0.11999999999999746,27980
AK,2016,12,-111,-0.16000000000000014,61227
AK,2017,1,993,0.7300000000000004,12588
AK,2017,2,24,0.01999999999999957,-53297
AK,2017,3,777,1.1099999999999994,2872
AK,2017,4,46,-0.35999999999999943,-53322
AK,2017,5,980,0.4200000000000017,-32361
AK,2017,6,962,0.10999999999999943,-13553
AK,2017,7,-66,-0.5300000000000011,18321
AK,2017,8,1185,-0.5299999999999976,9425
AK,2017,9,-391,-0.1700000000000017,-12587
AK,2017,10,455,0.3000000000000007,21267
AL,2007,2,3280,0.3199999999999994,-174202
AL,2007,3,1574,-0.16999999999999993,-349873
AL,2007,4,439,0.1800000000000006,-350371
AL,2007,5,1320,0.16000000000000014,808689
AL,2007,6,3486,0.4899999999999993,783702
AL,2007,7,859,-0.16999999999999993,665863
AL,2007,8,5880,0.6499999999999995,679776
AL,2007,9,-45,-0.7399999999999993,-900748
AL,2007,10,-27,-0.1299999999999999,-1197067
AL,2007,11,1475,-0.23000000000000045,-800034
AL,2007,12,550,-0.040000000000000036,541623
AL,2008,1,777472,0.3700000000000001,810016
AL,2008,2,2817,-0.1899999999999995,-656747
AL,2008,3,430,-0.2700000000000005,-325960
AL,2008,4,1117,0.2700000000000005,-360214
AL,2008,5,2305,0.3899999999999997,545350
AL,2008,6,2340,1.3199999999999994,1176834
AL,2008,7,3162,0.2700000000000013,519649
AL,2008,8,4424,-0.14000000000000054,-153901
AL,2008,9,-1580,-0.07000000000000027,-782088
AL,2008,10,-307,0.16000000000000014,-1176162
AL,2008,11,-253,-0.15000000000000036,-433518
AL,2008,12,1324,-0.25,499473
AL,2009,1,-7157,0.12000000000000098,341844
AL,2009,2,1396,-0.13000000000000078,-615498
AL,2009,3,-1010,-0.3300000000000001,-397993
AL,2009,4,-438,0.07000000000000027,-354729
AL,2009,5,-616,-0.14000000000000054,731619
AL,2009,6,2380,1.0500000000000007,764400
AL,2009,7,-672,-0.5899999999999999,1156511
AL,2009,8,420,0.129999999999999,-372871
AL,2009,9,-118,-0.5,-642379
AL,2009,10,-700,-0.6600000000000001,-1025660
AL,2009,11,471,0.08000000000000007,-255320
AL,2009,12,1835,0.5400000000000009,823127
AL,2010,1,-7188,-0.12000000000000098,1121722
AL,2010,2,2755,-0.3199999999999985,-659032
AL,2010,3,1894,0.10999999999999943,-504383
AL,2010,4,-1099,0.28999999999999915,-683639
AL,2010,5,687,0.22000000000000064,694219
AL,2010,6,16741,0.3200000000000003,1297232
AL,2010,7,10361,-0.01999999999999957,801426
AL,2010,8,-2481,0.4499999999999993,121839
AL,2010,9,-1544,-0.4199999999999999,-984993
AL,2010,10,650,-0.10999999999999943,-1535748
AL,2010,11,-1786,-0.2700000000000013,-416205
AL,2010,12,-10214,0.07000000000000027,1597814
AL,2011,1,-581,-0.09999999999999963,331951
AL,2011,2,1131,-0.04999999999999893,-1110029
AL,2011,3,1481,-0.4200000000000017,-300631
AL,2011,4,998,0.15000000000000036,-340473
AL,2011,5,-19454,0.6400000000000006,436458
AL,2011,6,23491,0.5700000000000003,1516444
AL,2011,7,-1231,0.0600000000000005,458942
AL,2011,8,4512,0.01999999999999957,418408
AL,2011,9,-1871,-0.3800000000000008,-1591357
AL,2011,10,-545,-0.20999999999999908,-1173722
AL,2011,11,-5287,-0.3300000000000001,-101045
AL,2011,12,5666,0.1899999999999995,648441
AL,2012,1,-5732,-0.1999999999999993,141340
AL,2012,2,3641,0.05999999999999873,-562379
AL,2012,3,3127,-0.08000000000000007,-26278
AL,2012,4,1339,-0.009999999999999787,-118411
AL,2012,5,2336,0.12000000000000098,811662
AL,2012,6,1872,0.8699999999999992,474371
AL,2012,7,-100,0.10999999999999943,939065
AL,2012,8,4330,-0.10999999999999943,-277666
AL,2012,9,-1917,-0.20999999999999908,-889551
AL,2012,10,917,-0.6000000000000014,-935310
AL,2012,11,401,-0.1899999999999995,-105773
AL,2012,12,355,0.16999999999999993,415574
AL,2013,1,-3573,-0.1899999999999995,438775
AL,2013,2,1290,0.029999999999999364,-589679
AL,2013,3,-4291,-0.01999999999999957,232875
AL,2013,4,9487,-0.1899999999999995,-477887
AL,2013,5,-558,0.25,393983
AL,2013,6,-5158,0.8599999999999994,975649
