State,Year,Month,Count,Megawatthours
AK,2007,2,-488,-54661
AK,2007,3,504,1457
AK,2007,4,790,-29758
AK,2007,5,1108,-43815
AK,2007,6,491,-6090
AK,2007,7,566,15869
AK,2007,8,500,18629
AK,2007,9,327,-14213
AK,2007,10,275,-921
AK,2007,11,-854,45613
AK,2007,12,-193,45774
AK,2008,1,42393,35223
AK,2008,2,-244,-31873
AK,2008,3,868,-47593
AK,2008,4,422,-32777
AK,2008,5,1051,-21605
AK,2008,6,575,-23549
AK,2008,7,862,8133
AK,2008,8,35,17217
AK,2008,9,827,8191
AK,2008,10,-172,18962
AK,2008,11,-1951,30494
AK,2008,12,-746,33807
AK,2009,1,-122,41332
AK,2009,2,-262,-66861
AK,2009,3,1123,-23170
AK,2009,4,-61,-23741
AK,2009,5,696,-27350
AK,2009,6,930,-11059
AK,2009,7,602,12471
AK,2009,8,225,8528
AK,2009,9,574,-10260
AK,2009,10,-539,26124
AK,2009,11,-1096,31301
AK,2009,12,332,55132
AK,2010,1,-8,3797
AK,2010,2,-92,-63626
AK,2010,3,1180,14251
AK,2010,4,-76,-46860
AK,2010,5,723,-23821
AK,2010,6,1082,-11420
AK,2010,7,234,21068
AK,2010,8,653,14913
AK,2010,9,355,-18337
AK,2010,10,-717,21774
AK,2010,11,-920,29931
AK,2010,12,-28,70218
AK,2011,1,152,13008
AK,2011,2,-424,-65552
AK,2011,3,1347,8242
AK,2011,4,-28,-52779
AK,2011,5,61,-27204
AK,2011,6,1641,-16994
AK,2011,7,173,10237
AK,2011,8,864,20179
AK,2011,9,284,-9964
AK,2011,10,-609,24294
AK,2011,11,-92,52140
AK,2011,12,-608,43347
AK,2012,1,-120,13884
AK,2012,2,279,-23565
AK,2012,3,216,-38426
AK,2012,4,309,-40954
AK,2012,5,-1066,-35177
AK,2012,6,2358,-13673
AK,2012,7,-342,24594
AK,2012,8,937,8001
AK,2012,9,-488,-11602
AK,2012,10,954,23054
AK,2012,11,-1126,55073
AK,2012,12,-507,60344
AK,2013,1,508,-12664
AK,2013,2,-442,-84030
AK,2013,3,550,10803
AK,2013,4,362,-25128
AK,2013,5,1005,-19545
AK,2013,6,355,-27241
AK,2013,7,815,11741
AK,2013,8,73,22679
AK,2013,9,326,-15216
AK,2013,10,537,16863
AK,2013,11,-1056,21600
AK,2013,12,-428,76102
AK,2014,1,475,-1138
AK,2014,2,-535,-69654
AK,2014,3,730,20403
AK,2014,4,-5961,-58833
AK,2014,5,12442,-22200
AK,2014,6,498,-8526
AK,2014,7,772,12749
AK,2014,8,337,9479
AK,2014,9,707,-146
AK,2014,10,622,19790
